ECRY2_DN0_c0_g12446_i1.p1	GO:0017018, GO:0006470, GO:0005634
ECRY2_DN0_c0_g8963_i1.p1	GO:0015908, GO:0005576, GO:0008289
ECRY2_DN0_c0_g1195_i1.p1	GO:0000281, GO:0032151, GO:0032176, GO:0120104, GO:0060090, GO:0051301, GO:0034613, GO:0005515, GO:0005829, GO:0032153, GO:0005525, GO:0003924, GO:0036391, GO:0005938, GO:0015630, GO:0007049
ECRY2_DN0_c0_g14932_i1.p1	GO:0045947, GO:0006353, GO:0019028, GO:0098021, GO:0060566, GO:0003723
ECRY2_DN0_c0_g2615_i1.p1	GO:0003743, GO:0002183, GO:0006412, GO:0033290, GO:0001732, GO:0005737, GO:0005852, GO:0003723, GO:0016282
ECRY2_DN0_c0_g559_i1.p1	GO:0005794, GO:0000139, GO:0005795, GO:0016021, GO:0004653, GO:0046872, GO:0006486, GO:0030246, GO:0012505, GO:0009312
ECRY2_DN0_c0_g9926_i1.p1	GO:0030424, GO:0005524, GO:0005515, GO:0005737, GO:0106310, GO:0006468, GO:0043025, GO:0005634, GO:0004687, GO:0004712
ECRY2_DN0_c0_g14361_i1.p1	GO:0016021, GO:0016020, GO:0007160, GO:0005509
ECRY2_DN0_c0_g8947_i1.p1	GO:0005886, GO:0005524, GO:0050829, GO:0008340, GO:0007200, GO:0018105, GO:0006606, GO:0005737, GO:0009898, GO:0005829, GO:0089700, GO:0045087, GO:0004698, GO:0106310, GO:0046872, GO:0050830, GO:0004712
ECRY2_DN0_c0_g13909_i1.p1	GO:0005789, GO:0004800, GO:0016021, GO:0005783, GO:0061074, GO:0042446
ECRY2_DN0_c0_g2006_i1.p1	GO:0016319, GO:0006646, GO:0008306, GO:0005524, GO:0016310, GO:0005737, GO:0007638, GO:0055059, GO:0007420, GO:0009612, GO:0007616, GO:0006657, GO:0004103, GO:0001666, GO:0046959, GO:0004305
ECRY2_DN0_c0_g5775_i1.p1	GO:0005921, GO:0006811, GO:0005886, GO:0005243, GO:0016021, GO:0055085, GO:0055077
ECRY2_DN0_c0_g15533_i1.p1	GO:0072686, GO:0003735, GO:0006412, GO:0005634
ECRY2_DN0_c0_g7161_i1.p1	GO:0000978, GO:0046872, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g2728_i1.p1	GO:0005776, GO:0005886, GO:0046627, GO:0090217, GO:0005524, GO:0016310, GO:0005783, GO:0042802, GO:0005737, GO:0005829, GO:0016308, GO:2000786, GO:1902635, GO:0016309, GO:0005654
ECRY2_DN0_c0_g11249_i1.p1	GO:0005737, GO:0004634, GO:0000015, GO:0006096, GO:0000287
ECRY2_DN0_c0_g14429_i1.p1	GO:0016319, GO:0005576, GO:0045464, GO:0005125, GO:0050803, GO:0002052, GO:0009749, GO:0045572, GO:0060395, GO:0008083, GO:0010862, GO:0032924, GO:0042593, GO:0045819, GO:0044719, GO:0005615
ECRY2_DN0_c0_g16175_i1.p1	GO:0016114, GO:0005829, GO:0005737, GO:0016787, GO:0005634
ECRY2_DN0_c0_g12772_i1.p1	GO:0007030, GO:0016020, GO:0016021, GO:0033644, GO:0003677
ECRY2_DN0_c0_g15252_i1.p1	GO:0005739, GO:0006543, GO:0004359, GO:0006537
ECRY2_DN0_c0_g9574_i1.p1	GO:0016021, GO:0031676, GO:0042301, GO:0009523, GO:0009579, GO:0015979
ECRY2_DN0_c0_g9323_i1.p1	GO:0003743, GO:0003729, GO:0032991, GO:0001731, GO:0002188
ECRY2_DN0_c0_g5154_i1.p1	GO:0045892, GO:0045944, GO:0005515, GO:0000978, GO:0140655, GO:0001228, GO:0008270, GO:0005634
ECRY2_DN0_c0_g1690_i1.p1	GO:2000751, GO:0001556, GO:0090230, GO:0000781, GO:0005634, GO:0008584, GO:0031509, GO:0005654, GO:0046982, GO:0031492, GO:1902340, GO:0009725, GO:0006334, GO:0035264, GO:0070062, GO:0031508, GO:0005700, GO:0001649, GO:0007283, GO:0001740, GO:0030527, GO:0048477, GO:0043987, GO:0030307, GO:0007566, GO:0000785, GO:0000978, GO:0000775, GO:0007286, GO:0000939, GO:0006336, GO:0005576, GO:0042692, GO:0006997, GO:0032200, GO:0008283, GO:0000979, GO:0007338, GO:0007420, GO:0000786
ECRY2_DN0_c0_g11295_i1.p1	GO:0040011, GO:0030017, GO:0006936, GO:0045214, GO:0003779, GO:0005861, GO:0046872, GO:0030172
ECRY2_DN0_c0_g13286_i1.p1	GO:0043565, GO:0005739, GO:0005759, GO:0016887, GO:0005524, GO:0004176, GO:0034599, GO:0004252, GO:0051131, GO:0005777, GO:0006515, GO:0030163, GO:0007005, GO:0070407, GO:0003697, GO:0045732
ECRY2_DN0_c0_g9201_i1.p1	GO:0051259, GO:0016020, GO:0016021, GO:0044177, GO:0019050, GO:0033644, GO:0042802, GO:0055036, GO:0039707, GO:0019031, GO:0098655, GO:0005261, GO:0039651
ECRY2_DN0_c0_g11517_i1.p1	GO:0005814, GO:0036064, GO:0051301, GO:0043015, GO:0000922, GO:0005737, GO:0005829, GO:0001650, GO:0045177, GO:0007020, GO:0005856, GO:0000278, GO:0000242, GO:0005813, GO:0005654
ECRY2_DN0_c0_g11055_i1.p1	GO:0042742, GO:0004867, GO:0016021, GO:0016020
ECRY2_DN0_c0_g13523_i1.p1	GO:0047994, GO:0052689, GO:0006637, GO:0005782, GO:0047603, GO:0043649, GO:0016559, GO:0003986, GO:0052816, GO:0102991, GO:0005777, GO:0045225, GO:0016290, GO:0044466, GO:0009062, GO:0004778, GO:0052815, GO:0033882, GO:0007031
ECRY2_DN0_c0_g814_i1.p1	GO:0090502, GO:0004526, GO:0001682, GO:0033204, GO:0005655, GO:0046872, GO:0005634, GO:0005730, GO:0009410
ECRY2_DN0_c0_g577_i1.p1	GO:0048477, GO:0005886, GO:0016021, GO:0030135, GO:0008196, GO:0005509, GO:0006897
ECRY2_DN0_c0_g6452_i1.p1	GO:0043517, GO:0016020, GO:0072593, GO:0010917, GO:0005515, GO:0070059, GO:0090200, GO:0048147, GO:0001836, GO:1900740, GO:0043029, GO:0016021, GO:0010498, GO:0006919, GO:0009411, GO:0006915, GO:0042771, GO:0043331, GO:0010165, GO:0042149, GO:0033644, GO:2001244, GO:1902043, GO:0010907, GO:0071456, GO:0043525, GO:0051607
ECRY2_DN0_c0_g2800_i1.p1	GO:0016887, GO:0005524, GO:0005737, GO:0032508, GO:0003678
ECRY2_DN0_c0_g12618_i1.p1	GO:0061162, GO:0021700, GO:0048675, GO:0005829, GO:0005874, GO:0097457, GO:0017085, GO:0009410, GO:0047497, GO:0097441, GO:0043204, GO:0036477, GO:0010035, GO:0032355, GO:0008017, GO:0014069, GO:0001578, GO:0048666, GO:0030426, GO:0048471, GO:0005737, GO:0007409, GO:0009612, GO:0014012, GO:0005875, GO:0043025, GO:0071895, GO:0045773, GO:0009743, GO:0045666, GO:0032387, GO:0005886, GO:0071375, GO:0071363, GO:0033189, GO:0007399, GO:0051915, GO:0043197, GO:0007416, GO:0005543, GO:0007026, GO:0005856, GO:0043196, GO:0031116, GO:0016358, GO:0045202, GO:0003779, GO:0001750, GO:0044877, GO:0097440
ECRY2_DN0_c0_g932_i1.p1	GO:0030245, GO:0005576, GO:0071555, GO:0008810
ECRY2_DN0_c0_g7605_i1.p1	GO:0006891, GO:0005794, GO:0031410, GO:0000139, GO:0030663, GO:0005737, GO:0005198, GO:0030126, GO:0006888, GO:0006886, GO:0006890
ECRY2_DN0_c0_g4513_i1.p1	GO:0005484, GO:0005886, GO:0031201, GO:0055037, GO:0031629, GO:0098793, GO:0030728, GO:0045202, GO:0065002, GO:0016082, GO:0006887, GO:0043005, GO:0016324, GO:0019905
ECRY2_DN0_c0_g12323_i1.p1	GO:0005739, GO:0006914, GO:0016021, GO:0005515, GO:0034045, GO:0005774, GO:0005773, GO:0016409, GO:0005741
ECRY2_DN0_c0_g421_i1.p1	GO:0046983, GO:0000978, GO:0007568, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g1587_i1.p1	GO:0046688, GO:0004712, GO:0005524, GO:0050829, GO:0008340, GO:0005737, GO:0030971, GO:0106310, GO:0001934, GO:0005080, GO:0007254, GO:0038066, GO:0097110, GO:0046872, GO:0004709, GO:0031103, GO:0042594, GO:0006468, GO:0048691
ECRY2_DN0_c0_g13105_i1.p1	GO:0032991, GO:0005515, GO:0005764, GO:0015031, GO:0042470, GO:0009986, GO:0005771, GO:0002092, GO:0030855, GO:0070062, GO:0097487, GO:0034613, GO:0031904, GO:0005737, GO:0045785, GO:1901379, GO:0035646, GO:1900746, GO:0005615, GO:0005887, GO:0005886, GO:0048757, GO:0016477, GO:0007160, GO:0010633, GO:0005576, GO:0050931, GO:0005765, GO:0044877, GO:2001046, GO:0032585
ECRY2_DN0_c0_g4632_i1.p1	GO:0060271, GO:0005929, GO:0045202, GO:0036159, GO:0070840, GO:0007268, GO:0036158, GO:0005930
ECRY2_DN0_c0_g3281_i1.p1	GO:0030424, GO:0030425, GO:0010629, GO:0030154, GO:0061809, GO:0045168, GO:0042427, GO:0045087, GO:0007165, GO:0050829, GO:0019901, GO:0042802, GO:1904115, GO:0034128, GO:0007399, GO:0050135, GO:1901216, GO:0019677, GO:0008104, GO:0010628, GO:0045944, GO:0035591, GO:0050832, GO:0044297, GO:0048678, GO:0031267
ECRY2_DN0_c0_g2278_i1.p1	GO:0005811, GO:0005739, GO:0005344, GO:0019825, GO:0015671, GO:0020037, GO:0046872
ECRY2_DN0_c0_g15968_i1.p1	GO:0043161, GO:0005737, GO:0005829, GO:0000502, GO:0005634, GO:0005839, GO:0019774, GO:0004175, GO:0005654
ECRY2_DN0_c0_g8889_i1.p1	GO:0005739, GO:0051321, GO:0007281, GO:0072684, GO:0002119, GO:0046872, GO:0005634, GO:0040026, GO:0008033, GO:0042781
ECRY2_DN0_c0_g5125_i1.p1	GO:0005739, GO:0005759, GO:0004725, GO:0017018, GO:0031314, GO:0005515, GO:0005737, GO:0006470, GO:0017017, GO:0005634, GO:0005743, GO:0003723
ECRY2_DN0_c0_g3442_i1.p1	GO:0006044, GO:0005975, GO:0005737, GO:0006043, GO:0006091, GO:0004342
ECRY2_DN0_c0_g6982_i1.p1	GO:0000506, GO:0006506, GO:0017176
ECRY2_DN0_c0_g13118_i1.p1	GO:0051663, GO:0005515, GO:0005829, GO:0045451, GO:0051028, GO:0005634, GO:0000398, GO:0051170, GO:0007317, GO:0005737, GO:0007310, GO:0042564, GO:1990501, GO:0071013, GO:0051168, GO:0003729, GO:0046595, GO:0000226, GO:0007314, GO:0007294, GO:0000335
ECRY2_DN0_c0_g4997_i1.p1	GO:0005737, GO:0008251, GO:0046872, GO:0005634, GO:0008033, GO:0003723, GO:0005730
ECRY2_DN0_c0_g179_i1.p1	GO:0005576, GO:0032277, GO:0007218, GO:0005102
ECRY2_DN0_c0_g9205_i1.p1	GO:0005509, GO:0003341, GO:0005783
ECRY2_DN0_c0_g8836_i1.p1	GO:0005794, GO:0005628, GO:0000329, GO:0043328, GO:0033565, GO:0005737, GO:0005829, GO:0043130, GO:0005768, GO:0031321, GO:0005634, GO:0010008, GO:0035091
ECRY2_DN0_c0_g14734_i1.p1	GO:0042803, GO:0022008, GO:0030522, GO:0000978, GO:0048513, GO:0005737, GO:0004879, GO:0009952, GO:0016477, GO:0005634, GO:0008270, GO:0006357, GO:0030917
ECRY2_DN0_c0_g5234_i1.p1	GO:0035193, GO:0031902, GO:0009267, GO:0006869, GO:0008333, GO:0005764, GO:0048488, GO:0045924, GO:0016021, GO:0098793, GO:0055085, GO:0008347, GO:0045477, GO:0048477, GO:0022857, GO:0007619, GO:0008582, GO:0045476, GO:0005768, GO:0051124, GO:0010001, GO:0007040, GO:0005765, GO:0030514
ECRY2_DN0_c0_g11562_i1.p1	GO:0005886, GO:0006977, GO:0008285, GO:0031225, GO:0030548, GO:0006915
ECRY2_DN0_c0_g5704_i1.p1	GO:0051229, GO:0051321, GO:0007019, GO:0016020, GO:0008017, GO:0051301, GO:0051013, GO:0020002, GO:0008568, GO:0009792
ECRY2_DN0_c0_g6899_i1.p1	GO:0005886, GO:0004930, GO:0016021, GO:0005737, GO:0043235, GO:0030073, GO:0031210, GO:0007189, GO:0019222
ECRY2_DN0_c0_g12727_i1.p1	GO:0009611, GO:0010951, GO:0005576, GO:0004867
ECRY2_DN0_c0_g2801_i1.p1	GO:0019904, GO:0098671, GO:0039573, GO:0005737, GO:0030683, GO:0046718
ECRY2_DN0_c0_g9995_i1.p1	GO:0060271, GO:0005515, GO:0015031, GO:0097500, GO:0042755, GO:0005730, GO:0005654
ECRY2_DN0_c0_g686_i1.p1	GO:0005887, GO:0016020, GO:0019901, GO:0045660, GO:0051726, GO:0043066, GO:0061515, GO:2000035
ECRY2_DN0_c0_g3516_i1.p1	GO:0003729, GO:0030154, GO:0005737, GO:0045948, GO:0046872, GO:0070935, GO:0007283
ECRY2_DN0_c0_g12893_i1.p1	GO:0033632, GO:0030674, GO:0005927, GO:0030154, GO:0016203, GO:0002168, GO:0007517, GO:0017148, GO:0008270, GO:0030371
ECRY2_DN0_c0_g15124_i1.p1	GO:0007288, GO:0005886, GO:0048487, GO:0030317, GO:0016021, GO:0005737, GO:0043014, GO:0036126, GO:0097225, GO:0002080, GO:0001669, GO:0030030
ECRY2_DN0_c0_g10173_i1.p1	GO:0045299, GO:0005887, GO:0060336, GO:0042472, GO:0005886, GO:0032869, GO:0015252, GO:0032475, GO:0042802, GO:1902600, GO:0015485
ECRY2_DN0_c0_g5900_i1.p1	GO:0005739, GO:0072659, GO:0005886, GO:0005737, GO:0016567, GO:0008021, GO:0005525, GO:0005768, GO:0003924, GO:0035556
ECRY2_DN0_c0_g4492_i1.p1	GO:0005789, GO:0016021, GO:0002009, GO:0005783, GO:0016746, GO:0012505, GO:0036149
ECRY2_DN0_c0_g3118_i1.p1	GO:0008361, GO:0005794, GO:0012505, GO:0042803, GO:0009306, GO:0005524, GO:0004672, GO:0005829, GO:0006468, GO:0036335, GO:0006888, GO:0005938, GO:0042127
ECRY2_DN0_c0_g1459_i1.p1	GO:0045892, GO:0045944, GO:0005515, GO:0000978, GO:0140655, GO:0001228, GO:0008270, GO:0005634
ECRY2_DN0_c0_g13218_i1.p1	GO:0043231, GO:0016020, GO:0016021, GO:0015020, GO:0071412
ECRY2_DN0_c0_g5799_i1.p1	GO:0031672, GO:0030017, GO:0060048, GO:0042802, GO:0045214, GO:0003779, GO:0003007, GO:0007155, GO:0055010, GO:0005863, GO:0005200, GO:0097512, GO:0031034, GO:0002027, GO:0032036, GO:0046872, GO:0008307, GO:0005856
ECRY2_DN0_c0_g16411_i1.p1	GO:0051984, GO:0006260, GO:0034518, GO:0031047, GO:0048471, GO:0070918, GO:0005737, GO:0005515, GO:1990511, GO:0051306, GO:0051781, GO:0034585, GO:0005634, GO:0009792, GO:0040016, GO:0007059, GO:0003723, GO:0007049
ECRY2_DN0_c0_g12151_i1.p1	GO:0009653, GO:0030154, GO:0000978, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g10342_i1.p1	GO:0070530, GO:0060271, GO:0061512, GO:0005737, GO:0005829, GO:0046872, GO:0005634
ECRY2_DN0_c0_g254_i1.p1	GO:0005887, GO:0005886, GO:0086011, GO:0006937, GO:0071805, GO:0007617, GO:0005242, GO:0034765, GO:0046662
ECRY2_DN0_c0_g735_i1.p1	GO:0032099, GO:0005576, GO:0005794, GO:0005886, GO:0005635, GO:0070062, GO:0007264, GO:0005793, GO:0050790, GO:0005783, GO:0005737, GO:0005829, GO:0005085, GO:0005509, GO:0005634, GO:0001965, GO:0003677, GO:0005615
ECRY2_DN0_c0_g3895_i1.p1	GO:0006898, GO:0006904, GO:0005515, GO:0005737, GO:0005768, GO:0010008
ECRY2_DN0_c0_g11824_i1.p1	GO:0007291, GO:0006955, GO:0045089, GO:0002230, GO:0061057, GO:0005123, GO:0050829, GO:0089720, GO:0005737, GO:0006919, GO:0031265, GO:0005829, GO:0036462, GO:0006963, GO:0006915, GO:0050700, GO:2001238
ECRY2_DN0_c0_g9117_i1.p1	GO:0010825, GO:0005815, GO:0046601, GO:0005814, GO:0005737, GO:0019894, GO:0019900, GO:0048133, GO:0005856
ECRY2_DN0_c0_g2419_i1.p1	GO:0005794, GO:0055038, GO:0005886, GO:0033036, GO:0016021, GO:0005783, GO:0140326, GO:0005768, GO:0031901
ECRY2_DN0_c0_g5777_i1.p1	GO:0005634, GO:0005819, GO:0051301, GO:0005737, GO:0051726, GO:0006915, GO:0005876, GO:0005694, GO:0045892, GO:0000775, GO:0046872, GO:0043027, GO:0030496, GO:0005856, GO:0007049, GO:0032133, GO:0043154, GO:0051225, GO:0000776, GO:0006468, GO:0007059, GO:0031267
ECRY2_DN0_c0_g10601_i1.p1	GO:0005903, GO:0005794, GO:0032243, GO:0005886, GO:0006355, GO:0045920, GO:0030054, GO:0005515, GO:0050892, GO:0005634, GO:0019871, GO:0042997, GO:0010829, GO:0005654
ECRY2_DN0_c0_g5555_i1.p1	GO:0048046, GO:0010951, GO:0004867, GO:0140403
ECRY2_DN0_c0_g9629_i1.p1	GO:0005887, GO:0006955, GO:0005576, GO:0005886, GO:0007165, GO:0070062, GO:0005164, GO:0043123, GO:0005125, GO:0042802, GO:0045569, GO:0043280, GO:0008270, GO:0006915, GO:0090200, GO:2001238, GO:0007267, GO:0005615
ECRY2_DN0_c0_g13347_i1.p1	GO:0007219, GO:0045944, GO:0000978, GO:0001228, GO:0005634
ECRY2_DN0_c0_g9537_i1.p1	GO:0008380, GO:0030627, GO:0000395, GO:0006397, GO:0005634, GO:0000243, GO:0071004, GO:0005685
ECRY2_DN0_c0_g5286_i1.p1	GO:0051301, GO:0019894, GO:0005634, GO:0019900, GO:0007049
ECRY2_DN0_c0_g14707_i1.p1	GO:0001522, GO:0009982, GO:0005634, GO:0008033, GO:0003723
ECRY2_DN0_c0_g6353_i1.p1	GO:0016323, GO:0004674, GO:0004713, GO:0005524, GO:0005737, GO:0106310, GO:0016324, GO:0018108, GO:0004712
ECRY2_DN0_c0_g8855_i1.p1	GO:0005737, GO:0005509, GO:0001669, GO:0006508, GO:0004198
ECRY2_DN0_c0_g4438_i1.p1	GO:0005576, GO:0016042, GO:0050790, GO:0032094, GO:0008047, GO:0007586
ECRY2_DN0_c0_g2368_i1.p1	GO:0030424, GO:0099072, GO:0005739, GO:0004095, GO:0030176, GO:0098794, GO:0005789, GO:0030425, GO:0005783, GO:0098978, GO:0005741, GO:0009437, GO:0032281, GO:0006635
ECRY2_DN0_c0_g11273_i1.p1	GO:0001172, GO:0006351, GO:0003968, GO:0030430, GO:0019079, GO:0003723
ECRY2_DN0_c0_g15606_i1.p1	GO:0070052, GO:0005576, GO:0030198, GO:0010811, GO:0005614, GO:0007160, GO:0005178, GO:0008201
ECRY2_DN0_c0_g14372_i1.p1	GO:0006915, GO:0016021, GO:0005515, GO:0016020
ECRY2_DN0_c0_g15972_i1.p1	GO:0007422, GO:0003677, GO:0005667, GO:0001654, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g4587_i1.p1	GO:0005739, GO:0005840, GO:0032543, GO:0005763, GO:0005743, GO:0003723
ECRY2_DN0_c0_g13169_i1.p1	GO:0007608, GO:0050896, GO:0016020, GO:0016021, GO:0005549
ECRY2_DN0_c0_g13672_i1.p1	GO:0005739, GO:0006278, GO:0090305, GO:0003964, GO:0004519
ECRY2_DN0_c0_g15211_i1.p1	GO:0048382, GO:0030274, GO:0043549, GO:0005634, GO:0046985, GO:0000972, GO:0005654, GO:0045647, GO:0016055, GO:1990907, GO:0003682, GO:0043621, GO:0045785, GO:0060322, GO:0006366, GO:0051893, GO:0003712, GO:0022607, GO:0021702, GO:0000785, GO:0007399, GO:0009948, GO:0010669, GO:0030334, GO:0001702, GO:0034243, GO:0019899, GO:0042803, GO:0035019, GO:0001942, GO:0021549, GO:0045944, GO:0061629, GO:0043973, GO:0000122, GO:0031252, GO:0003677
ECRY2_DN0_c0_g14558_i1.p1	GO:0007291, GO:0016020, GO:0030317, GO:0016021, GO:0030154, GO:0005737, GO:0046872, GO:0007283
ECRY2_DN0_c0_g15742_i1.p1	GO:0005576, GO:1904685, GO:0007378, GO:0008201, GO:0030514, GO:0036122, GO:0005615
ECRY2_DN0_c0_g12955_i1.p1	GO:0004715, GO:0016572, GO:0005524, GO:0035173, GO:0006338, GO:0046872, GO:0005634, GO:0018108, GO:0004712, GO:0006974
ECRY2_DN0_c0_g8207_i1.p1	GO:0016020, GO:0005112, GO:0098671, GO:0039573, GO:0016021, GO:0055036, GO:0030683, GO:0046718
ECRY2_DN0_c0_g6902_i1.p1	GO:0004983, GO:0016021, GO:0005886, GO:0007218
ECRY2_DN0_c0_g1392_i1.p1	GO:0005576, GO:0005764, GO:0006508, GO:0042470, GO:0004190, GO:0005615
ECRY2_DN0_c0_g2875_i1.p1	GO:0033181, GO:0005886, GO:0005515, GO:0007430, GO:0035002, GO:1902600, GO:0046961, GO:0000221, GO:0045176
ECRY2_DN0_c0_g3510_i1.p1	GO:0016441, GO:0003677, GO:0007281, GO:0044194, GO:0005515, GO:0005737, GO:1903231, GO:0035925, GO:0008285, GO:0008284, GO:0010494, GO:2000637, GO:0005634, GO:0006915, GO:0140517, GO:0035332, GO:0017145, GO:1990904
ECRY2_DN0_c0_g8652_i1.p1	GO:0005739, GO:0016021, GO:0005515, GO:1902465, GO:0005741
ECRY2_DN0_c0_g10466_i1.p1	GO:0010468, GO:0005739, GO:0005524
ECRY2_DN0_c0_g7549_i1.p1	GO:0005739, GO:0003968, GO:0009060, GO:0000266
ECRY2_DN0_c0_g13540_i1.p1	GO:0016887, GO:0005524, GO:0005737, GO:0110148, GO:0005856
ECRY2_DN0_c0_g9668_i1.p1	GO:0005576, GO:0030431, GO:1903818, GO:0032222, GO:0030246
ECRY2_DN0_c0_g11715_i1.p1	GO:0048477, GO:0005886, GO:0016021, GO:0030154, GO:0005509, GO:0007283, GO:0045938, GO:0070328
ECRY2_DN0_c0_g12325_i1.p1	GO:0005739, GO:0006811, GO:0015986, GO:0016887, GO:0000275, GO:0005756, GO:0005753, GO:0005743, GO:0046933
ECRY2_DN0_c0_g14936_i1.p1	GO:0005794, GO:0000139, GO:0016021, GO:0006491, GO:0006487, GO:0031278
ECRY2_DN0_c0_g3689_i1.p1	GO:0005576, GO:0004252, GO:0005829, GO:0006508, GO:0005615
ECRY2_DN0_c0_g15907_i1.p1	GO:0007291, GO:0006955, GO:0045089, GO:0002230, GO:0061057, GO:0005123, GO:0050829, GO:0089720, GO:0005737, GO:0006919, GO:0031265, GO:0005829, GO:0036462, GO:0006963, GO:0006915, GO:0050700, GO:2001238
ECRY2_DN0_c0_g8037_i1.p1	GO:0005887, GO:0015293, GO:0016020, GO:0035435, GO:0005315
ECRY2_DN0_c0_g5034_i1.p1	GO:0005243, GO:0016020, GO:0016021, GO:0005509, GO:0051015, GO:0016032
ECRY2_DN0_c0_g1990_i1.p1	GO:0030154, GO:0005515, GO:0008039, GO:0007399, GO:0043025, GO:0043083
ECRY2_DN0_c0_g10159_i1.p1	GO:0016020, GO:0016021, GO:0020037, GO:0055085, GO:0097037, GO:0015232
ECRY2_DN0_c0_g5710_i1.p1	GO:0050804, GO:0005886, GO:0032983, GO:0016021, GO:0035235, GO:0035249, GO:0034220, GO:0045202, GO:0015277, GO:0045211, GO:0060078, GO:1904315, GO:0042734
ECRY2_DN0_c0_g15733_i1.p1	GO:0042788, GO:0005635, GO:0005524, GO:0043022, GO:0005737, GO:0005634, GO:0042254, GO:0006413, GO:0045727, GO:0008494, GO:0005654
ECRY2_DN0_c0_g5224_i1.p1	GO:0005739, GO:0071422, GO:0015117, GO:0015140, GO:0071423, GO:0015141, GO:0015116, GO:1902356, GO:0016021, GO:0015131, GO:1902358, GO:0015709, GO:0035435, GO:0015297, GO:0005743
ECRY2_DN0_c0_g4053_i1.p1	GO:0005814, GO:0060271, GO:0036064, GO:0005929, GO:0000922, GO:0005515, GO:0005737, GO:0097712, GO:0034454, GO:0005856, GO:0005813, GO:0005654
ECRY2_DN0_c0_g7384_i1.p1	GO:0005789, GO:0005975, GO:0043568, GO:0005783, GO:0016021, GO:0005515, GO:0031965, GO:0048741, GO:0051897, GO:0005634, GO:0004553
ECRY2_DN0_c0_g5013_i1.p1	GO:0042025, GO:0090305, GO:0004527, GO:0004519
ECRY2_DN0_c0_g4321_i1.p1	GO:0043551, GO:0046854, GO:0005515, GO:0005576
ECRY2_DN0_c0_g12443_i1.p1	GO:0005576, GO:0030198, GO:0031012, GO:0016491, GO:0000166
ECRY2_DN0_c0_g12835_i1.p1	GO:0031160, GO:0030435, GO:0004222, GO:0008270
ECRY2_DN0_c0_g16257_i1.p1	GO:0005737, GO:0005764, GO:0003948, GO:0008233, GO:0006508, GO:0006517
ECRY2_DN0_c0_g4102_i1.p1	GO:0072487, GO:0000228, GO:0003682, GO:0043984, GO:0005634, GO:0006325, GO:0009047, GO:0031625, GO:0000976, GO:0016456
ECRY2_DN0_c0_g10824_i1.p1	GO:0016020, GO:0016021, GO:0020002, GO:0044177, GO:0055036, GO:0030683, GO:0044178, GO:0043657, GO:0019031, GO:0044156, GO:0008083
ECRY2_DN0_c0_g16166_i1.p1	GO:0006260, GO:0006355, GO:0016020, GO:0006351, GO:0016021, GO:0039693, GO:0006275, GO:0003700, GO:0003677, GO:0000166
ECRY2_DN0_c0_g10495_i1.p1	GO:0035912, GO:0005515, GO:0008360, GO:0005923, GO:0001525, GO:0016055, GO:0009880, GO:0055037, GO:0060026, GO:0035329, GO:0005886, GO:0001935, GO:0035907, GO:0003365, GO:0016477, GO:0030334, GO:0046847, GO:0099513, GO:0051649, GO:0030866, GO:0005938
ECRY2_DN0_c0_g10543_i1.p1	GO:0046580, GO:0043087, GO:0007165, GO:0008306, GO:0007614, GO:0005737, GO:0005096, GO:0007616
ECRY2_DN0_c0_g11594_i1.p1	GO:0080154, GO:0009566, GO:0051119, GO:2000344, GO:0001669, GO:0002081, GO:0015574
ECRY2_DN0_c0_g9299_i1.p1	GO:0048487, GO:0072686, GO:0030154, GO:0097149, GO:0005634, GO:0090543, GO:0005654, GO:0051988, GO:0007165, GO:0008017, GO:0051301, GO:0050790, GO:0032154, GO:0005737, GO:0031234, GO:0019901, GO:0032467, GO:0007405, GO:0007283, GO:0043015, GO:0000281, GO:0045995, GO:0005886, GO:0051233, GO:0046872, GO:0008272, GO:0030496, GO:0007049, GO:0005856, GO:0051256, GO:0000915, GO:0043014, GO:0005096, GO:0001669, GO:0005547
ECRY2_DN0_c0_g5350_i1.p1	GO:0051301, GO:0043248, GO:0005737, GO:0016538, GO:0000079, GO:0005634, GO:0044772, GO:0000307, GO:0007049
ECRY2_DN0_c0_g7704_i1.p1	GO:0019901, GO:0008427, GO:0005737, GO:0045202, GO:0005829, GO:0006469, GO:0005634, GO:0005813, GO:0005654
ECRY2_DN0_c0_g12400_i1.p1	GO:0019784, GO:0043687, GO:0005515, GO:0008234, GO:0005829, GO:0016579
ECRY2_DN0_c0_g7783_i1.p1	GO:0002181, GO:0003729, GO:0003735, GO:0022625, GO:0017148, GO:0022626
ECRY2_DN0_c0_g2793_i1.p1	GO:0005524, GO:0004691, GO:0097546, GO:0010737, GO:0005829, GO:0004712, GO:0004679, GO:0006468, GO:0106310, GO:0003091, GO:0005634, GO:0008584, GO:0034380, GO:0034237, GO:0007283, GO:0005654
ECRY2_DN0_c0_g9198_i1.p1	GO:0005313, GO:0005739, GO:0016021, GO:0110141, GO:0015187, GO:1990575, GO:1904983, GO:0000064, GO:0005743
