CCFQ1_DN4592_c0_g1_i2.p1	GO:0006749, GO:0005576, GO:0004364
CCFQ1_DN13573_c0_g1_i1.p1	GO:0042592, GO:0005576, GO:0005886, GO:0005515, GO:0007411, GO:0007155
CCFQ1_DN4577_c0_g1_i1.p1	GO:0044249, GO:0005737, GO:0016740, GO:0005829
CCFQ1_DN36742_c0_g1_i1.p1	GO:0005737, GO:0004596, GO:0017196, GO:0031416
CCFQ1_DN8777_c0_g1_i1.p1	GO:0005739, GO:0003735, GO:0003723, GO:0005829, GO:0043280, GO:0006915, GO:0005737
CCFQ1_DN1718_c0_g1_i1.p1	GO:1901799, GO:0005634, GO:0005515, GO:0032091
CCFQ1_DN12694_c0_g1_i1.p1	GO:0015030, GO:0005829, GO:0040008, GO:0046626, GO:0015031, GO:0003924, GO:0005783, GO:0005737, GO:0005525, GO:0000054
CCFQ1_DN38541_c0_g1_i1.p1	GO:0030496, GO:0048599, GO:0046777, GO:0000775, GO:0005634, GO:0032133, GO:1990385, GO:0035404, GO:0035174, GO:0007283, GO:0051321, GO:0007052, GO:0004712, GO:0051255, GO:0000793, GO:0051301, GO:0005819, GO:0106310, GO:0005524, GO:0031616, GO:0032465, GO:0005856, GO:0005876, GO:0005737
CCFQ1_DN25367_c0_g1_i1.p1	GO:0042127, GO:0043547, GO:0010008, GO:0016021, GO:0004930, GO:0009749, GO:0009737, GO:0005634, GO:0005096, GO:0009414, GO:0009867, GO:0005768, GO:0009968, GO:0010182, GO:0005886, GO:0005515, GO:0007186
CCFQ1_DN5859_c0_g3_i2.p1	GO:0005615, GO:0005576, GO:0004252, GO:0006508
CCFQ1_DN3040_c0_g2_i1.p1	GO:0071577, GO:0055069, GO:0034703, GO:0043052, GO:0051262, GO:0016020, GO:0097682, GO:0005887, GO:0010960, GO:0005385
CCFQ1_DN30450_c0_g1_i1.p3	GO:0008201, GO:0033033, GO:0007597, GO:0016525, GO:0009986, GO:0051006, GO:0060230, GO:0034392, GO:0042802, GO:0005543, GO:0005576, GO:0030195, GO:0001937, GO:0034364, GO:0042627, GO:0006641, GO:0010596, GO:0031639, GO:0034361, GO:0005615, GO:0051918
CCFQ1_DN42341_c0_g1_i1.p1	GO:0140588, GO:0007064, GO:0005634, GO:0000785, GO:0005829, GO:0007049, GO:0051301, GO:0034088, GO:0090694, GO:0007059, GO:0005515, GO:0003690, GO:0062022
CCFQ1_DN24864_c0_g1_i1.p1	GO:0006809, GO:0046872, GO:1900015, GO:0032755, GO:0001669, GO:0004517, GO:0005516, GO:0005737, GO:0032310, GO:0018119, GO:0032757
CCFQ1_DN3536_c0_g1_i2.p1	GO:0016607, GO:0005634, GO:0043161, GO:0016567, GO:0031463, GO:0031625, GO:0005737, GO:0030162
CCFQ1_DN38786_c0_g1_i1.p1	GO:0005856, GO:0050750, GO:0005634, GO:0010468, GO:0016020, GO:0005829, GO:0019901, GO:0042826, GO:0043254, GO:0031625, GO:0005737, GO:1990393
CCFQ1_DN12308_c0_g1_i1.p1	GO:0007097, GO:0005791, GO:0005640, GO:0016021, GO:0051015, GO:0008360, GO:0005634, GO:0007010, GO:0034993, GO:0140444, GO:0005737, GO:0005635, GO:0090150
CCFQ1_DN26538_c0_g1_i1.p1	GO:0061512, GO:0007286, GO:0035721, GO:0030991, GO:0005929, GO:0003682, GO:0007283, GO:0030154, GO:0030317
CCFQ1_DN36281_c0_g1_i1.p1	GO:0005739, GO:1990825, GO:0008289, GO:0051321
CCFQ1_DN468_c0_g1_i1.p1	GO:0004725, GO:0005829, GO:0016314, GO:0009555, GO:0046856
CCFQ1_DN542_c0_g1_i1.p1	GO:0016874, GO:0001676, GO:0046949, GO:0009555, GO:0080110, GO:0005524, GO:0005783, GO:0005737
CCFQ1_DN33098_c0_g1_i1.p1	GO:0046872, GO:0004089, GO:0015977, GO:0043886, GO:0015979, GO:0005737
CCFQ1_DN6340_c0_g1_i1.p1	GO:0048306, GO:0005634, GO:0005829, GO:0090309, GO:0080188, GO:1990511, GO:0010529
CCFQ1_DN10329_c0_g4_i1.p2	GO:0005856, GO:0005874, GO:0051301, GO:0007049, GO:0005819, GO:0005737, GO:0005515, GO:0007020
CCFQ1_DN1324_c0_g1_i1.p1	GO:0005856, GO:0008017, GO:0006897, GO:0005874, GO:0030705, GO:0031122, GO:0005737, GO:0005768
CCFQ1_DN42582_c0_g1_i1.p1	GO:0005856, GO:0007165, GO:0042802, GO:0005829, GO:0042981, GO:0005874, GO:0005886, GO:0005737
CCFQ1_DN17020_c0_g1_i1.p1	GO:1990904, GO:0005730, GO:0006397, GO:0045943, GO:0003723, GO:0003724, GO:0016887, GO:0042254, GO:0005524
CCFQ1_DN11523_c0_g1_i4.p1	GO:0005654, GO:0004525, GO:0005634, GO:0006364, GO:0070877, GO:0010586, GO:0035196, GO:0001530, GO:0090502, GO:0031054, GO:0070412, GO:0070878, GO:0045589, GO:0050829, GO:0031053, GO:0050727, GO:0010628, GO:2000628, GO:0050830, GO:0014069, GO:0005730, GO:0046872, GO:0003725, GO:0005829, GO:0042803, GO:0042254, GO:0017151
CCFQ1_DN6358_c0_g1_i1.p1	GO:0005213, GO:0046843, GO:0005576, GO:0042600
CCFQ1_DN2698_c0_g1_i1.p1	GO:0005654, GO:0005634, GO:0010494, GO:0003723, GO:0003724, GO:0016973, GO:0016887, GO:0044614, GO:0005524, GO:0005737
CCFQ1_DN26601_c0_g1_i1.p1	GO:0046854, GO:0004430, GO:0048015, GO:0005886, GO:0005737
CCFQ1_DN29702_c0_g1_i1.p1	GO:0005637, GO:0016021, GO:0005654, GO:0016236, GO:0005634, GO:0043621, GO:0015031, GO:0051321, GO:0005635, GO:0006501
CCFQ1_DN22422_c0_g1_i1.p1	GO:0071805, GO:0016021, GO:0008076, GO:0016020, GO:0034765, GO:0005249, GO:0030425
CCFQ1_DN42775_c0_g1_i2.p1	GO:0005730, GO:0005634, GO:0070039, GO:0042254, GO:0000447, GO:0008650, GO:0005515, GO:0000480, GO:0000472
CCFQ1_DN9514_c0_g1_i4.p1	GO:0005764, GO:0008474, GO:0098734
CCFQ1_DN1251_c0_g1_i4.p1	GO:2001235, GO:0043406, GO:0042803, GO:0005737, GO:0046330, GO:0000086
CCFQ1_DN28039_c0_g1_i1.p1	GO:0005777, GO:0035529, GO:0046872, GO:0006734, GO:0006742, GO:0019677, GO:0110153, GO:0000210
CCFQ1_DN473_c0_g2_i8.p1	GO:0005856, GO:0043130, GO:0007507, GO:0060027, GO:0043009, GO:0070530, GO:0005815, GO:0008270, GO:0005737, GO:0043123, GO:0045860
CCFQ1_DN732_c0_g1_i1.p1	GO:0032039, GO:0005515, GO:0034472
CCFQ1_DN13182_c0_g1_i1.p1	GO:0005298, GO:0016324, GO:0015838, GO:0015193, GO:0015816, GO:1904271, GO:0005886, GO:0005887, GO:0035725, GO:0015199
CCFQ1_DN13874_c0_g1_i2.p1	GO:0045944, GO:0050808, GO:0030027, GO:0005634, GO:0030426, GO:0016020, GO:0001540, GO:0005794, GO:1901988, GO:0005515, GO:0006939, GO:0036438, GO:0005737, GO:0045202, GO:0005783, GO:0035556, GO:0005769, GO:0000122
CCFQ1_DN9751_c0_g1_i2.p1	GO:0001676, GO:0047676, GO:0016020, GO:0005783, GO:0005524, GO:0005737
CCFQ1_DN31311_c0_g1_i1.p1	GO:0017156, GO:0005796, GO:0002040, GO:0005509, GO:0005783, GO:0005794
CCFQ1_DN19217_c0_g1_i1.p2	GO:0042476, GO:0031214, GO:0008283, GO:0005576, GO:0030154, GO:0005515
CCFQ1_DN18298_c0_g1_i1.p1	GO:0070122, GO:0005634, GO:0008180, GO:0005737, GO:0140492, GO:0000338
CCFQ1_DN14107_c0_g1_i1.p1	GO:0042546, GO:0071555, GO:0016757, GO:0005794
CCFQ1_DN1468_c0_g1_i1.p1	GO:0005829, GO:0006625, GO:0008270, GO:0006915, GO:0003677, GO:0043122, GO:0043066, GO:0005737, GO:0071356, GO:0031593
CCFQ1_DN8497_c0_g1_i1.p1	GO:0046872, GO:0043565, GO:0005634, GO:0006357, GO:0000981
CCFQ1_DN6925_c0_g1_i1.p1	GO:0044877, GO:1990166, GO:0005654, GO:0005634, GO:0035861, GO:0006281, GO:0034184, GO:2000781, GO:0031334, GO:0031625, GO:0000785
CCFQ1_DN22649_c0_g1_i1.p1	GO:0019076, GO:0005515, GO:0019073, GO:0042025
CCFQ1_DN4777_c0_g1_i1.p1	GO:0006355, GO:0005634, GO:0005125, GO:0005133
CCFQ1_DN9769_c0_g1_i3.p1	GO:0045727, GO:0003723, GO:0034518, GO:0070992, GO:0008190, GO:0006413, GO:1901190, GO:0005737, GO:0003743
CCFQ1_DN22440_c0_g1_i1.p1	GO:0003676, GO:0046872, GO:0000738, GO:0005739, GO:0009507, GO:0008296, GO:0005737, GO:0090305
CCFQ1_DN3719_c0_g1_i1.p1	GO:0070382, GO:1990182, GO:0016021, GO:0016324, GO:0051117, GO:0044298, GO:0000220, GO:0032585, GO:0040002, GO:0016471, GO:0007035, GO:0005771, GO:0051046, GO:0005886, GO:0050891, GO:0002119, GO:0046961, GO:1902600
CCFQ1_DN15554_c0_g1_i2.p1	GO:0001819, GO:0006955, GO:0005507, GO:0005149, GO:0007165, GO:0034605, GO:0005829, GO:0005615, GO:0005576, GO:0005125, GO:0046688, GO:0001660, GO:0005737, GO:0051781
CCFQ1_DN4549_c0_g1_i1.p1	GO:0030008, GO:0005634, GO:0006888, GO:0140416, GO:0048471, GO:0044325, GO:0001222, GO:0005737, GO:0005793
CCFQ1_DN38012_c0_g1_i1.p1	GO:0043565, GO:0003714, GO:0007049, GO:0051301, GO:0043093, GO:0005737, GO:0000917, GO:0003713
CCFQ1_DN2942_c0_g1_i1.p1	GO:0071805, GO:0016021, GO:0008076, GO:0016020, GO:0034765, GO:0005249, GO:0030425
CCFQ1_DN10593_c1_g1_i1.p1	GO:0050290, GO:0005634, GO:0006685, GO:0005783, GO:0005794, GO:0001701, GO:0042383, GO:0005802, GO:0016021, GO:0004767, GO:0005635, GO:0071356, GO:0005640, GO:0000139, GO:0046475, GO:0005789, GO:0046872, GO:0046513, GO:0007029
CCFQ1_DN37798_c0_g1_i1.p1	GO:0005739, GO:0030697, GO:0070041, GO:0031167, GO:0030488
CCFQ1_DN1015_c0_g2_i2.p1	GO:0005634, GO:0003682, GO:0031519, GO:0042393, GO:0009653, GO:0045892
CCFQ1_DN11922_c0_g1_i1.p1	GO:0005739, GO:0046474, GO:0046872, GO:0008253
CCFQ1_DN1658_c0_g1_i6.p1	GO:0048675, GO:0007435, GO:0007494, GO:0005886, GO:0007186, GO:0016021, GO:0016477, GO:0008585, GO:0050770, GO:0042685, GO:0035293, GO:0060250, GO:0060070, GO:0035206, GO:0007367, GO:0048665, GO:0050808, GO:0008045, GO:0008587, GO:0031290, GO:0042302, GO:0016201
CCFQ1_DN16463_c0_g1_i3.p1	GO:0005242, GO:0009986, GO:0098914, GO:0071805, GO:0042383, GO:0016021, GO:0030018, GO:0043268, GO:0019904, GO:0030315, GO:0048168, GO:0051393, GO:0016286, GO:1901379, GO:0043197, GO:0005516, GO:0042803, GO:0043025, GO:0005790
CCFQ1_DN12491_c0_g1_i1.p1	GO:0005198, GO:0005634, GO:0005829, GO:0051321
CCFQ1_DN4417_c0_g1_i4.p1	GO:0005654, GO:0005634, GO:0006281, GO:0010791, GO:0030870, GO:1905779, GO:0042802, GO:0042138, GO:0000737, GO:0007534, GO:0000723, GO:0035306, GO:0051321, GO:0000706, GO:0005737, GO:0000014, GO:0003690, GO:0031860
CCFQ1_DN18831_c0_g1_i1.p1	GO:0016607, GO:0014019, GO:0046872, GO:0005634, GO:0007626, GO:0048666, GO:0035222, GO:0005515, GO:0045892
CCFQ1_DN17097_c0_g1_i1.p1	GO:0051015, GO:0005884, GO:0005509, GO:0051017, GO:0051639, GO:0005737, GO:0032432
CCFQ1_DN9757_c0_g1_i3.p1	GO:0032039, GO:0005515, GO:0004888, GO:0034472
CCFQ1_DN14718_c0_g1_i1.p1	GO:0005739, GO:0000266, GO:0009060, GO:0005515
CCFQ1_DN39296_c0_g1_i1.p1	GO:0033572, GO:0001881, GO:0048471, GO:0031901, GO:0005515, GO:0055037
CCFQ1_DN16613_c0_g1_i1.p1	GO:0036159, GO:0005856, GO:0016324, GO:0046872, GO:0005815, GO:0044458, GO:0120293, GO:0005886, GO:0036158, GO:0034451, GO:0005737, GO:1905505
CCFQ1_DN5921_c0_g1_i2.p1	GO:1903818, GO:0048511, GO:0032222, GO:0031225, GO:0030431, GO:0045938, GO:0005886, GO:1903049, GO:0045837, GO:0034235, GO:0009897
CCFQ1_DN1280_c0_g1_i1.p1	GO:0032797, GO:0000387, GO:0046872
CCFQ1_DN5307_c0_g1_i1.p1	GO:0000938, GO:0005829, GO:0042147, GO:0016020, GO:0006896, GO:0030029, GO:0032456, GO:0005794, GO:0019905, GO:0006886
CCFQ1_DN44453_c0_g1_i1.p1	GO:0003779, GO:0006936, GO:0032982, GO:0017022, GO:0007155
CCFQ1_DN3151_c0_g1_i7.p1	GO:0005515, GO:0072657, GO:0016020, GO:0016021
CCFQ1_DN38741_c0_g1_i1.p1	GO:0006393, GO:0006390, GO:0005739, GO:0006355, GO:0006260, GO:0003690, GO:0005759
CCFQ1_DN22048_c0_g1_i1.p1	GO:0019033, GO:0044177, GO:0030430, GO:0030435, GO:0005515
CCFQ1_DN196_c0_g1_i3.p1	GO:0030672, GO:0016021, GO:0016192, GO:0031410, GO:0005484, GO:0045202, GO:0043005, GO:0019905
CCFQ1_DN9291_c0_g2_i1.p1	GO:0044167, GO:0044163, GO:0016021, GO:0044165, GO:0016020, GO:0046740, GO:0044219, GO:0030430, GO:0005515
CCFQ1_DN13087_c0_g1_i2.p1	GO:0007586, GO:0005576, GO:0004252, GO:0006508
CCFQ1_DN15798_c0_g1_i2.p1	GO:0000978, GO:0005634, GO:0046983, GO:0000981, GO:0006357, GO:0050767, GO:0009952, GO:0032502
CCFQ1_DN37238_c0_g1_i1.p1	GO:0044295, GO:0031529, GO:0005634, GO:0005884, GO:0001726, GO:0005886, GO:0042060, GO:0003334, GO:0016477, GO:0030018, GO:0007411, GO:0005925, GO:0002102, GO:0030175, GO:0098632, GO:0001725, GO:0030424, GO:0030027, GO:0031175, GO:0007156, GO:0030036, GO:0005856, GO:0060707, GO:0071456, GO:0003779, GO:0060076, GO:0071803, GO:0003382, GO:0070593, GO:0043025, GO:0005737
CCFQ1_DN4214_c0_g1_i2.p1	GO:0042176, GO:0005770, GO:0016021, GO:0090263, GO:0005764, GO:0070070, GO:0048388, GO:0005765, GO:0015031, GO:0005515, GO:0007042
CCFQ1_DN17882_c0_g1_i1.p1	GO:0006406, GO:0043248, GO:0005739, GO:0000724, GO:0005515
CCFQ1_DN10879_c0_g1_i1.p1	GO:0015030, GO:0005634, GO:0005829, GO:0015031, GO:0003924, GO:0005783, GO:0005737, GO:0005525, GO:0000054
CCFQ1_DN998_c0_g1_i5.p1	GO:0006897, GO:0030507, GO:0036309, GO:0045211, GO:0005769, GO:0044325, GO:0008093, GO:0086005, GO:0140031, GO:0086015, GO:0042383, GO:0031430, GO:0016324, GO:0098907, GO:0003283, GO:0005739, GO:1901018, GO:0036371, GO:1901021, GO:0030018, GO:0014704, GO:0086046, GO:0016323, GO:0019901, GO:0043005, GO:0086091, GO:0051117, GO:0043034, GO:0005200, GO:0005764, GO:0031672, GO:0060307, GO:0007010, GO:0030315, GO:0086014, GO:2001259, GO:0010881, GO:0015031, GO:0010628, GO:0050821, GO:0098910, GO:0070972, GO:0070296, GO:0006874, GO:0055037, GO:0033292, GO:0005856, GO:0045121, GO:0005829, GO:0034394, GO:0051597, GO:0086066, GO:0045202, GO:0005737, GO:0086070, GO:0007399, GO:0030913
CCFQ1_DN6709_c0_g3_i1.p1	GO:0051607, GO:0016020, GO:0005887, GO:0009897, GO:0030246
CCFQ1_DN41553_c0_g1_i1.p1	GO:0019028, GO:0042025, GO:0016032, GO:0005524, GO:0050321, GO:0004674
CCFQ1_DN15590_c0_g1_i1.p1	GO:0007097, GO:0005856, GO:0000022, GO:0050790, GO:0072686, GO:0001965, GO:0005092, GO:0008277, GO:0005818, GO:0007049, GO:0051301, GO:0005938, GO:0040001
CCFQ1_DN13966_c0_g1_i1.p1	GO:0043531, GO:0048471, GO:0006952, GO:0031901, GO:0005524, GO:0055037
CCFQ1_DN29394_c0_g1_i1.p1	GO:0005524, GO:0007049, GO:0005886, GO:0016021
CCFQ1_DN40928_c0_g1_i1.p1	GO:0043248, GO:0072686, GO:0005634, GO:0070481, GO:0051131, GO:0005515
CCFQ1_DN3286_c0_g2_i1.p1	GO:0005254, GO:1902476, GO:0016021, GO:0034707, GO:0005886
CCFQ1_DN3476_c0_g1_i1.p1	GO:0010501, GO:0005634, GO:0009651, GO:0009414, GO:0003690, GO:0008270, GO:0005886, GO:0005737, GO:0003729, GO:0009631, GO:0032508, GO:0003697
CCFQ1_DN10192_c0_g1_i1.p1	GO:0051607, GO:0007165, GO:0040008, GO:0002250, GO:0006959, GO:0005615, GO:0005576, GO:0005125, GO:0005133, GO:0010508
CCFQ1_DN15652_c0_g1_i1.p1	GO:0070935, GO:0005634, GO:0003730, GO:0007283, GO:0032991, GO:0030154, GO:0005737, GO:0005515, GO:0008494, GO:0045948
CCFQ1_DN5860_c0_g1_i1.p1	GO:0051119, GO:0016021, GO:0016020, GO:0005737, GO:0110134
CCFQ1_DN28665_c0_g1_i1.p1	GO:0016021, GO:0007165, GO:0048067, GO:0042302, GO:0005886, GO:0007593
CCFQ1_DN9130_c0_g1_i1.p1	GO:0016021, GO:0006508, GO:0005886, GO:0004252, GO:0098595, GO:0035149, GO:0060439
CCFQ1_DN9099_c0_g1_i1.p1	GO:0005085, GO:0001965, GO:0005634, GO:0005737, GO:0002244, GO:0009653
CCFQ1_DN33033_c0_g1_i1.p1	GO:0072499, GO:1900074, GO:0010942, GO:0009986, GO:0005031, GO:0006915, GO:0005886, GO:0070050, GO:0005887, GO:0033209, GO:0007399, GO:0005515
CCFQ1_DN15080_c1_g1_i1.p1	GO:0070935, GO:0005634, GO:0003730, GO:0007283, GO:0032991, GO:0030154, GO:0005737, GO:0005515, GO:0008494, GO:0045948
CCFQ1_DN36407_c0_g1_i1.p1	GO:0002009, GO:0004712, GO:0016020, GO:0051092, GO:0005524, GO:0006468, GO:0106310, GO:0005737, GO:0005515, GO:0004674
CCFQ1_DN6955_c0_g1_i1.p1	GO:0005634, GO:0032039, GO:0005515, GO:0016180
CCFQ1_DN7776_c0_g1_i1.p1	GO:0006166, GO:0004854, GO:0002197, GO:0005506, GO:0005737, GO:0009114
CCFQ1_DN36234_c0_g1_i1.p1	GO:0008311, GO:0005634, GO:0006284, GO:0005783, GO:0005739, GO:0140431, GO:0080111, GO:0043066, GO:0060047, GO:0090305, GO:0016607, GO:0016491, GO:0003723, GO:0010628, GO:0046872, GO:0005730, GO:0008081, GO:0001947, GO:0005737, GO:0052720
CCFQ1_DN38_c0_g1_i2.p1	GO:0003847, GO:0004622, GO:0102545, GO:0005739, GO:0016042, GO:0006644, GO:0006528, GO:0004067, GO:0016747
CCFQ1_DN8321_c0_g1_i3.p1	GO:0005634, GO:0019722, GO:0005509, GO:0019900, GO:0005886, GO:0005737
CCFQ1_DN36081_c0_g1_i1.p1	GO:0005509, GO:0021987, GO:0005576, GO:0030154, GO:0007219, GO:0005737, GO:0005112, GO:0045747
CCFQ1_DN14924_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0039644, GO:0030683, GO:0039503, GO:0005515, GO:0039547
CCFQ1_DN10023_c0_g1_i1.p1	GO:0005080, GO:0035088, GO:0045494, GO:0035509, GO:0034334, GO:0035003, GO:0005886, GO:0016324, GO:0016332, GO:0045196, GO:0005635, GO:0045179, GO:0045176, GO:0007043, GO:0035209, GO:0005918, GO:0005912, GO:0001736, GO:0008594, GO:0016327, GO:0016334, GO:0016333, GO:0032033
CCFQ1_DN42528_c0_g1_i1.p1	GO:0006508, GO:0039644, GO:0005576, GO:0019050, GO:0004197
CCFQ1_DN35715_c0_g1_i1.p1	GO:0035208, GO:0046872, GO:0051489, GO:0007191, GO:0001664, GO:0031683, GO:0007498, GO:0003924, GO:0005834, GO:0005525, GO:0007606
CCFQ1_DN13732_c0_g3_i1.p1	GO:0016021, GO:0035075, GO:0016020, GO:0004222, GO:0035073, GO:0008270, GO:0035556
CCFQ1_DN12658_c0_g1_i3.p1	GO:0005634, GO:0016020, GO:0051604, GO:0005783, GO:0006457, GO:0005615, GO:0101031, GO:0005102, GO:0005788, GO:0051082, GO:0051787, GO:0050768, GO:0032781, GO:0005737, GO:0016556, GO:0034663
CCFQ1_DN11078_c0_g1_i1.p1	GO:0001669, GO:0043160, GO:0007338, GO:0005576, GO:0005515
CCFQ1_DN13540_c0_g2_i1.p2	GO:0046872, GO:0000978, GO:0005634, GO:0006357, GO:0000981
CCFQ1_DN6058_c0_g1_i3.p1	GO:0007281, GO:0042025, GO:0019033, GO:0005515, GO:0030430, GO:0031122, GO:0002119
CCFQ1_DN9379_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0005031, GO:0051321, GO:0005737, GO:0005515
CCFQ1_DN10351_c0_g1_i1.p1	GO:0005876, GO:0008017, GO:0016021, GO:0005739, GO:0016020, GO:0006915, GO:0097431, GO:0030154, GO:0005737, GO:0006874
CCFQ1_DN35464_c0_g1_i1.p2	GO:0005581, GO:0042302, GO:0048856
CCFQ1_DN38755_c0_g1_i1.p1	GO:1902476, GO:0005227, GO:0016021, GO:0005229, GO:0005886, GO:0098655, GO:0043231
CCFQ1_DN5445_c0_g1_i1.p1	GO:0035925, GO:0005654, GO:2000975, GO:0098789, GO:0005847, GO:0005634, GO:0003682, GO:1900365, GO:0031439, GO:2000738, GO:0005813, GO:0006378, GO:0110104, GO:0042826, GO:0030154, GO:0010608, GO:1990120, GO:0051290, GO:0042803, GO:0034451, GO:0005737, GO:0042382
CCFQ1_DN30763_c0_g1_i1.p1	GO:0005634, GO:0000812, GO:0044877, GO:0019046, GO:0000785
CCFQ1_DN16607_c0_g1_i1.p1	GO:0005694, GO:0070187, GO:0005634, GO:0005829, GO:0003677, GO:0032211, GO:0016233, GO:0140445, GO:0005737, GO:0005515
CCFQ1_DN41617_c0_g1_i1.p1	GO:0007165, GO:0008360, GO:0043087, GO:0016020, GO:0005096, GO:0005737
CCFQ1_DN26439_c0_g1_i1.p1	GO:0005856, GO:0051298, GO:0007099, GO:0007049, GO:0005814, GO:0005737, GO:0005515
CCFQ1_DN22452_c0_g1_i1.p1	GO:0005515, GO:0016020, GO:0016021, GO:0051321
CCFQ1_DN5997_c0_g1_i1.p1	GO:0005515, GO:0005576, GO:0007605
CCFQ1_DN7134_c0_g1_i2.p1	GO:0035313, GO:0016324, GO:0016021, GO:0030335, GO:0001953, GO:0005886, GO:0030154, GO:0009897, GO:0005515
CCFQ1_DN7999_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0019031, GO:0055036, GO:0090022, GO:0005515
CCFQ1_DN20706_c0_g1_i2.p1	GO:0110085, GO:1903478, GO:0005634, GO:0000281, GO:1904600, GO:0005829, GO:0000747, GO:0070648, GO:0005515
CCFQ1_DN31959_c0_g1_i1.p1	GO:0005085, GO:0050790, GO:0005768, GO:0016192, GO:0035658, GO:0005515
CCFQ1_DN32986_c0_g1_i1.p1	GO:0051497, GO:0007165, GO:0016020, GO:0003094, GO:0005515
CCFQ1_DN18419_c0_g1_i1.p1	GO:0005509, GO:0005929, GO:1901317
CCFQ1_DN8114_c0_g1_i3.p1	GO:0002009, GO:0007424, GO:0030046, GO:0007435, GO:0045874, GO:0007301, GO:0036058, GO:0034332, GO:0030717, GO:0030708, GO:0045743, GO:0120176, GO:0048513, GO:0007293, GO:0005886, GO:0045087, GO:0018108, GO:0090136, GO:0008335, GO:0045886, GO:0048167, GO:0008302, GO:0007616, GO:0007411, GO:0007169, GO:0007300, GO:0004712, GO:0031234, GO:0030154, GO:0007349, GO:0045172, GO:0005524, GO:0008064, GO:0030723, GO:0005829, GO:0005102, GO:0016319, GO:0004715, GO:0045742, GO:0048477
CCFQ1_DN11892_c0_g1_i1.p1	GO:0004867, GO:0005576, GO:0010951
CCFQ1_DN28123_c0_g1_i1.p1	GO:0032040, GO:0005730, GO:0005634, GO:0006364, GO:0042802, GO:0003724, GO:0016887, GO:0034512, GO:0034511, GO:0042254, GO:0005524
CCFQ1_DN42097_c0_g1_i1.p1	GO:0005634, GO:0003682, GO:0042393, GO:0005737, GO:0045892, GO:0010629
CCFQ1_DN1288_c0_g1_i1.p1	GO:0050790, GO:0007165, GO:0005096, GO:0051056, GO:0005829
CCFQ1_DN41888_c0_g1_i1.p1	GO:0017148, GO:0008340, GO:0003729, GO:0016071, GO:0010494, GO:0033962, GO:1990124, GO:0007283, GO:0034063, GO:0016887, GO:0043066, GO:0005515, GO:0043186, GO:0030154, GO:0000932, GO:0005524, GO:0003724, GO:0006915, GO:0005737, GO:0048477
CCFQ1_DN41633_c0_g1_i1.p2	GO:0017148, GO:0005634, GO:0030426, GO:0060538, GO:0030425, GO:2001022, GO:2000637, GO:0044326, GO:0045727, GO:0098978, GO:0051489, GO:0002151, GO:0045182, GO:1902737, GO:0046982, GO:0001934, GO:0043034, GO:0003730, GO:0033592, GO:0016020, GO:0048471, GO:0030424, GO:0030154, GO:0005844, GO:0098793, GO:0043488, GO:0036464, GO:0014069, GO:0043197, GO:0005829, GO:0000381, GO:0042803, GO:0043025, GO:0005737
CCFQ1_DN7949_c0_g1_i11.p1	GO:0009234, GO:0102027, GO:0102955, GO:0102094, GO:0006744, GO:0043333, GO:0032259, GO:0009060, GO:0005737, GO:0043770
CCFQ1_DN26620_c0_g1_i1.p1	GO:0005764, GO:0016042, GO:0043202, GO:0005576, GO:0016788
CCFQ1_DN36378_c0_g1_i1.p1	GO:0005856, GO:0043204, GO:0046872, GO:0008103, GO:0030425, GO:0048477, GO:0005794, GO:0030424, GO:0005515, GO:1904801, GO:0030154, GO:0008407, GO:0034613, GO:0005737, GO:0007399, GO:0016325, GO:0007317, GO:0007314
CCFQ1_DN16516_c0_g1_i2.p1	GO:0008201, GO:0034591, GO:0043655, GO:0016020, GO:0045177, GO:0031410, GO:0046789, GO:0005576, GO:0032991, GO:0044409, GO:0005515, GO:0020002, GO:0044650, GO:0005923, GO:0020008
CCFQ1_DN14456_c0_g1_i1.p1	GO:0046872, GO:0005730, GO:0005634, GO:0005829, GO:0106050, GO:0030488, GO:0005737
CCFQ1_DN24420_c0_g1_i1.p1	GO:0008584, GO:0005604, GO:0008585, GO:0005594, GO:0005615, GO:0005576, GO:0030020, GO:0005788, GO:0030198
CCFQ1_DN22309_c0_g1_i1.p1	GO:0005634, GO:0043248, GO:0003677, GO:0005737
CCFQ1_DN41804_c0_g1_i1.p1	GO:0003839, GO:0061928, GO:0005739, GO:0016603, GO:0005829, GO:0009306, GO:0005794, GO:0005737, GO:0007030
CCFQ1_DN44976_c0_g1_i1.p1	GO:0046621, GO:0045732, GO:0009556, GO:0005634, GO:0010997, GO:0009555, GO:0005737, GO:0005515
CCFQ1_DN19533_c0_g1_i1.p1	GO:0050790, GO:0005634, GO:0097043, GO:0043618, GO:0010698, GO:0032968, GO:0042393, GO:0000781, GO:0006335, GO:0070775, GO:0030466, GO:0006337, GO:0043486, GO:0035066, GO:0033523, GO:0006334, GO:0005829, GO:0030527, GO:0001932, GO:0031509, GO:0006336
CCFQ1_DN22913_c0_g1_i1.p1	GO:0071008, GO:0000974, GO:0000398, GO:0005634, GO:0005829, GO:0071006, GO:0031490, GO:0071007, GO:0071004
