PAVE1_DN73601_c0_g1_i1.p1	GO:0005634, GO:0051059, GO:0051092
PAVE1_DN58711_c0_g1_i1.p1	GO:0035212, GO:0060100, GO:0048190, GO:0016322, GO:0005509, GO:0043277, GO:0005576, GO:0043652, GO:0035071, GO:0042742, GO:0048513, GO:0048678, GO:0005783, GO:0048468, GO:0106016, GO:0008345, GO:1904396, GO:0071588
PAVE1_DN60955_c0_g1_i1.p1	GO:0046872, GO:0030433, GO:0035861, GO:0005634, GO:0004517, GO:0005516, GO:0044732
PAVE1_DN8500_c0_g2_i2.p1	GO:0006397, GO:0019899, GO:0006915, GO:0005634, GO:0005681, GO:0000974, GO:0008380
PAVE1_DN6426_c0_g1_i3.p1	GO:0003723, GO:0030317, GO:0007338, GO:0007286, GO:0005634, GO:1990904, GO:0005737, GO:0048471, GO:0000961, GO:0001669, GO:0070584, GO:0036126, GO:0005739
PAVE1_DN52509_c0_g1_i1.p1	GO:0006915, GO:0051897, GO:0045766, GO:0005975, GO:0007250, GO:0006032, GO:0030324, GO:0032757, GO:0005576, GO:0005737, GO:0004568, GO:0005515, GO:0010800, GO:0070374, GO:0071356, GO:0005615, GO:0008061, GO:0070741, GO:0070555, GO:0006954, GO:0009612, GO:0005783
PAVE1_DN29_c1_g2_i1.p1	GO:0060287, GO:0030317, GO:0005515, GO:0007368, GO:0034451, GO:0005576, GO:0060271, GO:0090660, GO:0005930, GO:0097728, GO:0036126, GO:0120229, GO:0005879
PAVE1_DN80720_c0_g1_i1.p1	GO:0005654, GO:0005634, GO:0008374, GO:0005509, GO:0036152, GO:0005938, GO:0005819, GO:0005856, GO:0005544, GO:0036151, GO:0102545, GO:0047498, GO:0005635, GO:0046475, GO:0031966, GO:0004622, GO:0140042, GO:0005811, GO:0005789, GO:0005829, GO:0047499, GO:0006663
PAVE1_DN3479_c0_g1_i5.p1	GO:0003723, GO:0016607, GO:0005634, GO:0005737, GO:0000381, GO:0000398
PAVE1_DN8626_c0_g1_i2.p1	GO:1902366, GO:0001568, GO:0040036, GO:0043114, GO:0001755, GO:0072015, GO:0005634, GO:0035886, GO:0061386, GO:0061300, GO:0060059, GO:0039021, GO:2000583, GO:0051216, GO:0006357, GO:0003682, GO:0001756, GO:0007507, GO:0030325, GO:0000978, GO:0048387, GO:0072149, GO:0000981, GO:0043010, GO:0033339, GO:0008045
PAVE1_DN5362_c0_g1_i6.p1	GO:0000282, GO:0016021, GO:0005515, GO:0016020, GO:0006974
PAVE1_DN11182_c0_g2_i1.p1	GO:0005856, GO:0005515, GO:0051321, GO:0000706, GO:0000723, GO:0006281, GO:0000737, GO:0042138, GO:0007534, GO:0010791, GO:0005816, GO:0005737, GO:1905779, GO:0035306, GO:0031860
PAVE1_DN7566_c4_g1_i1.p1	GO:0005634, GO:0005737, GO:0032867, GO:0005829, GO:0019568, GO:0032866, GO:0042843
PAVE1_DN28897_c0_g1_i1.p1	GO:0035194, GO:0003729, GO:0005515, GO:0035197, GO:0005634, GO:0051607, GO:0005737, GO:0006417, GO:0005829, GO:0042742, GO:0019048
PAVE1_DN2199_c1_g2_i4.p1	GO:1990116, GO:0032790, GO:0016607, GO:0005654, GO:0005634, GO:0006281, GO:0043130, GO:0099053, GO:0032508, GO:0006307, GO:1990391, GO:0072344, GO:0006355
PAVE1_DN48655_c0_g1_i1.p1	GO:0070830, GO:0016021, GO:0007283, GO:0008366, GO:0005886, GO:0016338, GO:0005198, GO:0005923
PAVE1_DN47264_c0_g1_i1.p1	GO:0004519, GO:0006278, GO:0005789, GO:0003964, GO:0090305, GO:0005783
PAVE1_DN13207_c0_g1_i1.p2	GO:0006364, GO:0005634, GO:1990904, GO:0005730, GO:0003677
PAVE1_DN1501_c0_g1_i2.p1	GO:0016021, GO:0006364, GO:0031965, GO:0005634, GO:0005829, GO:0005730, GO:0005886, GO:0003723
PAVE1_DN46879_c0_g1_i1.p1	GO:0006388, GO:0072669, GO:0003723
PAVE1_DN7586_c7_g1_i1.p1	GO:0005856, GO:0046872, GO:0110148, GO:0016887, GO:0005737, GO:0005525, GO:0005524
PAVE1_DN8415_c0_g1_i7.p1	GO:0008270, GO:0031398, GO:0006915, GO:0048800, GO:0005634, GO:0046329, GO:1990001, GO:2001271, GO:0007298, GO:0090263, GO:0089720, GO:0043027, GO:0045035, GO:0061630, GO:1903688, GO:1990381, GO:0005737, GO:0007283, GO:0031624, GO:0061663, GO:0005876, GO:0016055, GO:0022416, GO:0070936, GO:0046673, GO:0045116, GO:0051865, GO:0048471, GO:0005829, GO:0051726, GO:0007289, GO:0031625
PAVE1_DN49866_c0_g1_i1.p1	GO:0001540, GO:0071404, GO:0008305, GO:0050766, GO:0006909, GO:0007160, GO:0016021, GO:0046872, GO:0016020, GO:0038023, GO:0033627, GO:0031623, GO:0007229, GO:0016477, GO:0005925, GO:0005178, GO:1904996
PAVE1_DN10615_c0_g1_i1.p1	GO:0008270, GO:0004842, GO:0016567, GO:0005654, GO:0005634, GO:0000785, GO:0005737, GO:0005829, GO:0045171, GO:0045893, GO:0060348
PAVE1_DN12497_c0_g1_i3.p1	GO:0003729, GO:0005654, GO:0005634, GO:0005737, GO:0005886, GO:0045892, GO:0006357
PAVE1_DN52964_c0_g1_i1.p1	GO:0006508, GO:0005634, GO:0042277, GO:0005737, GO:0005829, GO:0004252, GO:0070012, GO:0030163
PAVE1_DN49272_c0_g1_i2.p1	GO:0061809, GO:0016021, GO:0005615, GO:0016849, GO:0042802, GO:0005886, GO:0016740, GO:1902807, GO:0051782, GO:0050135
PAVE1_DN968_c0_g1_i2.p1	GO:0046872, GO:0004001, GO:0016310, GO:0045335, GO:0006166, GO:0005634, GO:0044209, GO:0006144, GO:0005829, GO:0005524
PAVE1_DN4075_c0_g1_i1.p1	GO:0006508, GO:0046872, GO:0055037, GO:0004197
PAVE1_DN75062_c0_g1_i1.p1	GO:0046872, GO:0005515, GO:0007317, GO:0048477, GO:0030154, GO:0008407, GO:0008103, GO:1904801, GO:0007314, GO:0005628, GO:0034613, GO:0007399, GO:0016325
PAVE1_DN55594_c0_g1_i1.p1	GO:0005856, GO:0005515, GO:0005634, GO:0005737, GO:0007049, GO:0006260, GO:0000922
PAVE1_DN7430_c0_g1_i2.p1	GO:0019028, GO:0046872, GO:0004519, GO:0016020, GO:0006278, GO:0019013, GO:0003964, GO:0090305, GO:0020002
PAVE1_DN58992_c0_g1_i1.p1	GO:0002682, GO:0010628, GO:0006508, GO:0005737, GO:0018645, GO:0001580, GO:0070233
PAVE1_DN208_c0_g1_i2.p1	GO:0000077, GO:0005634, GO:0042393, GO:0006281, GO:0045944
PAVE1_DN2011_c1_g1_i1.p1	GO:0008757, GO:0006364, GO:0001510, GO:0005634, GO:0042254, GO:0005730, GO:0003723
PAVE1_DN9982_c0_g2_i1.p1	GO:0005000, GO:0007186, GO:0005886, GO:0016021
PAVE1_DN2514_c0_g1_i9.p1	GO:0007018, GO:0044782, GO:0019894, GO:0005930, GO:0016939, GO:0035869
PAVE1_DN8536_c0_g1_i1.p1	GO:0097475, GO:0005125, GO:0030971, GO:0007399, GO:0005109, GO:1905485, GO:1904936, GO:0001708, GO:0005576, GO:1905488, GO:0005737, GO:0030182, GO:0040028, GO:1905491, GO:0060070, GO:0005886, GO:0048699, GO:0045165, GO:0005615, GO:0097402
PAVE1_DN67927_c0_g1_i1.p1	GO:0016021, GO:0008076, GO:0071805, GO:0005886, GO:0045171, GO:0034765, GO:0005249, GO:0051260
PAVE1_DN78882_c0_g1_i1.p1	GO:0016847, GO:0005634, GO:0009835, GO:0000325, GO:0042218, GO:0009693, GO:0005829, GO:0048046, GO:0009507, GO:0030170, GO:0005777
PAVE1_DN71154_c0_g1_i1.p1	GO:0016021, GO:0042802, GO:0019216, GO:0005765, GO:0005764, GO:0055088
PAVE1_DN24551_c0_g1_i1.p1	GO:0005634, GO:0048306, GO:0070301, GO:0005829
PAVE1_DN2115_c0_g1_i8.p1	GO:0051321, GO:0043186, GO:0034587, GO:0042803, GO:0031047, GO:0008408, GO:0003723
PAVE1_DN62360_c0_g1_i1.p1	GO:0010780, GO:0005515, GO:0005634, GO:0051321, GO:0005829
PAVE1_DN21436_c0_g1_i1.p1	GO:0048621, GO:0051823, GO:0007413, GO:0042331, GO:0043204, GO:0050976, GO:0043025, GO:0007281, GO:0017151, GO:0031507, GO:0060998, GO:0017148, GO:0072553, GO:0006935, GO:1905244, GO:0051028, GO:0045202, GO:0046627, GO:0007420, GO:0099578, GO:0098883, GO:0005634, GO:1990247, GO:0005844, GO:0071598, GO:1900364, GO:0007279, GO:0007294, GO:0007528, GO:0045886, GO:0007409, GO:0014069, GO:0007601, GO:0007614, GO:0045448, GO:0007288, GO:0042803, GO:0043068, GO:0010494, GO:0043488, GO:0098793, GO:0030424, GO:0008345, GO:0009794, GO:1900073, GO:0035176, GO:0007411, GO:1904115, GO:0008049, GO:2000647, GO:0008089, GO:0016319, GO:0007616, GO:0002052, GO:0007417, GO:0043197, GO:0070142, GO:0072375, GO:0090328, GO:0008344, GO:0043186, GO:1990124, GO:0045475, GO:0016322, GO:0003730, GO:0030517, GO:1990834, GO:0007399, GO:0050774, GO:0016442, GO:0043621, GO:0050802, GO:0031047, GO:0000900, GO:0007625, GO:0007310, GO:0097091, GO:0046959, GO:0008355, GO:0007268, GO:0045727, GO:0000139, GO:0048134
PAVE1_DN1175_c0_g2_i2.p1	GO:0046872, GO:0106310, GO:0097110, GO:0007254, GO:0030971, GO:0005080, GO:0048691, GO:0006468, GO:0004709, GO:0050829, GO:0005737, GO:0004712, GO:0046688, GO:0001934, GO:0042594, GO:0008340, GO:0005524, GO:0031103, GO:0038066
PAVE1_DN73128_c0_g1_i1.p1	GO:0016021, GO:0000329, GO:0006623, GO:0031966, GO:0015149, GO:0008645, GO:0005739
PAVE1_DN58340_c0_g1_i1.p1	GO:0046872, GO:0050790, GO:0007283, GO:0005634, GO:0030154, GO:0005737, GO:0005085, GO:0001745, GO:0031267, GO:0005096, GO:0007266
PAVE1_DN557_c3_g1_i9.p1	GO:0008270, GO:0004842, GO:0016567, GO:0005654, GO:0005634, GO:0000785, GO:0005737, GO:0005829, GO:0045171, GO:0045893, GO:0060348
PAVE1_DN7915_c1_g1_i4.p1	GO:0006694, GO:0030683, GO:0003854, GO:0102294, GO:0004769, GO:0005783
PAVE1_DN6340_c0_g2_i3.p1	GO:0046872, GO:0043161, GO:0001892, GO:0035904, GO:0070534, GO:0016607, GO:0060707, GO:0005515, GO:0061630, GO:0051865, GO:0032436, GO:1903077, GO:0003170, GO:0001779, GO:0003281, GO:0001843, GO:0060708
PAVE1_DN61965_c0_g1_i1.p1	GO:0005654, GO:0005634, GO:0000014, GO:0051321, GO:0000706, GO:0000723, GO:0006281, GO:0000737, GO:0042138, GO:0007534, GO:0010791, GO:0005737, GO:0042802, GO:0003690, GO:1905779, GO:0035306, GO:0030870, GO:0031860
PAVE1_DN1709_c0_g5_i1.p1	GO:0005856, GO:0043123, GO:0043065, GO:0006915, GO:0005634, GO:0005737, GO:0005068, GO:0007169, GO:0002947, GO:0097191
PAVE1_DN23845_c0_g1_i1.p1	GO:0009953, GO:0060828, GO:0016021, GO:0000578, GO:0005515, GO:2000055, GO:0005886, GO:0031648
PAVE1_DN6169_c0_g2_i1.p1	GO:0005515, GO:1904757, GO:0003712, GO:0016197, GO:0030133, GO:0031083
PAVE1_DN46111_c0_g1_i1.p1	GO:0035556, GO:0005515, GO:0005634, GO:0005737, GO:0005730, GO:0005694, GO:0030308
PAVE1_DN14566_c0_g1_i1.p1	GO:0005761, GO:0005515, GO:0032543, GO:0005743, GO:0005762, GO:0005739
PAVE1_DN8842_c0_g3_i3.p1	GO:0005515, GO:0050790, GO:0005634, GO:0019762, GO:0005829, GO:0080028, GO:0009536
PAVE1_DN11644_c0_g3_i1.p1	GO:0006606, GO:0005634, GO:0019901
PAVE1_DN21905_c0_g1_i5.p1	GO:0032496, GO:0046872, GO:0070234, GO:0032693, GO:0020037, GO:0002666, GO:0019441, GO:0004833, GO:0034354, GO:0005737, GO:0030485, GO:0032735, GO:0033555, GO:0070233, GO:0005515, GO:0016597, GO:0046007, GO:0036269, GO:0002830, GO:0033754, GO:0032421, GO:0002376, GO:0019825, GO:0002678, GO:0034276, GO:0006954, GO:0005829
PAVE1_DN5188_c0_g1_i1.p1	GO:0008541, GO:0007127, GO:0005634, GO:0005838, GO:0000502, GO:0005829, GO:0005198, GO:0022624, GO:0006511
PAVE1_DN48801_c0_g1_i1.p1	GO:0008270, GO:0006269, GO:0003896, GO:0006260, GO:0003677, GO:0005739
PAVE1_DN5047_c0_g2_i1.p1	GO:0097264, GO:0030246, GO:0004175, GO:0005886, GO:0005887, GO:0004930, GO:0007189, GO:0007166
PAVE1_DN4033_c1_g1_i1.p1	GO:0006915, GO:0030154, GO:0005634, GO:0047485, GO:0042803, GO:0005737, GO:0051726, GO:0046982, GO:1990841, GO:0019900
PAVE1_DN53468_c0_g1_i2.p1	GO:0071933, GO:0030428, GO:0044379, GO:0005634, GO:0005737, GO:0000147, GO:0006897, GO:0043332, GO:0032153, GO:2000601, GO:0030479, GO:0051666
PAVE1_DN79993_c0_g1_i1.p1	GO:0005856, GO:0005874, GO:0000045, GO:0006468, GO:0000407, GO:0000741, GO:0005515, GO:0005737, GO:0000422, GO:0005829, GO:1990316, GO:0042594, GO:0015031, GO:0044805, GO:0007059, GO:0034727
PAVE1_DN1233_c1_g1_i3.p1	GO:0045651, GO:0106310, GO:0097527, GO:0045944, GO:0031264, GO:0036289, GO:1901026, GO:0050729, GO:0070301, GO:0000165, GO:0070513, GO:0032757, GO:0004706, GO:0005737, GO:0033209, GO:2000379, GO:1905206, GO:2001238, GO:1903265, GO:0051092, GO:0005739, GO:0044877, GO:0004712, GO:0070231, GO:0070105, GO:0032760, GO:0001934, GO:0043124, GO:0045121, GO:0043235, GO:0097342, GO:0042803, GO:1903800, GO:0005886, GO:0005524, GO:0071356, GO:0060545, GO:1990000, GO:0060546, GO:0070266, GO:0043123, GO:0006954, GO:0005829, GO:0071363, GO:0010008, GO:2001240, GO:0046330, GO:0044257, GO:0005123, GO:0031625, GO:0070926, GO:0097191
PAVE1_DN38498_c0_g1_i1.p1	GO:0005515, GO:0031932, GO:0050896, GO:0005737, GO:0031931, GO:0031929
PAVE1_DN10123_c0_g1_i1.p1	GO:0042592, GO:0005509, GO:0005576, GO:0005886, GO:0007411, GO:0004930, GO:0007155
PAVE1_DN1910_c0_g1_i1.p1	GO:0000282, GO:0016021, GO:0016020, GO:0003677, GO:0006974
PAVE1_DN1017_c0_g1_i1.p1	GO:0006364, GO:0006397, GO:0006915, GO:0005634, GO:0016887, GO:0005730, GO:0008625, GO:0005524, GO:0008380, GO:0003724, GO:0003723
PAVE1_DN12895_c0_g1_i6.p2	GO:0051402, GO:0016021, GO:0071456, GO:0005515, GO:0016020, GO:0060548
PAVE1_DN10722_c1_g2_i3.p1	GO:0046872, GO:0005634, GO:0005737, GO:0005876, GO:0039526
PAVE1_DN59070_c0_g1_i1.p1	GO:0005634, GO:0005515, GO:0048598, GO:0072669
PAVE1_DN242_c0_g1_i4.p1	GO:0007018, GO:0005874, GO:0005856, GO:0005737, GO:0005813, GO:0005868, GO:0045505, GO:0005929, GO:0097542, GO:0003777
PAVE1_DN62529_c0_g1_i1.p1	GO:0042592, GO:0005576, GO:0005886, GO:0007411, GO:0098632, GO:0007155
PAVE1_DN26233_c0_g1_i2.p1	GO:0070534, GO:0005515, GO:0004842, GO:0006301, GO:0005634, GO:0000329, GO:0005737, GO:0005829, GO:0031372, GO:0044395, GO:0016874, GO:0010994
PAVE1_DN3905_c0_g1_i1.p1	GO:0046872, GO:0005634, GO:0005737, GO:0047631, GO:0019693, GO:0006753, GO:0005739
PAVE1_DN70681_c0_g1_i1.p1	GO:0000122, GO:0008270, GO:0005634, GO:0000977, GO:0005737, GO:0000981
PAVE1_DN29603_c0_g1_i1.p1	GO:0046872, GO:0005634, GO:0000978, GO:0000981, GO:0006357
PAVE1_DN26161_c0_g1_i1.p1	GO:0005829, GO:0007283, GO:0030552, GO:0005737
PAVE1_DN4509_c1_g1_i11.p1	GO:0005856, GO:0006612, GO:0005938, GO:0005068, GO:0019904, GO:0007169, GO:0032456, GO:0016323, GO:0015914, GO:0051117, GO:0005080, GO:0005887
PAVE1_DN33567_c0_g1_i1.p1	GO:0065003, GO:0005509, GO:0031410, GO:0005886, GO:0005887, GO:0004930, GO:0007189, GO:0007166
PAVE1_DN47005_c0_g1_i1.p1	GO:0017018, GO:0005515, GO:0008138, GO:0005737, GO:0048471, GO:0005829, GO:0007049, GO:0004725, GO:0051726, GO:0006974, GO:0006470
PAVE1_DN64411_c0_g1_i1.p1	GO:0016021, GO:0005789, GO:0042803, GO:0032991, GO:0005886, GO:0046982, GO:0005783, GO:0015721
PAVE1_DN7441_c0_g1_i4.p1	GO:0007005, GO:0015918, GO:0004579, GO:0005576, GO:0045333
PAVE1_DN54420_c0_g1_i1.p1	GO:0016021, GO:0005743, GO:0070469, GO:0005747, GO:0008137, GO:0032981, GO:0022900, GO:0005739
PAVE1_DN3290_c0_g1_i6.p1	GO:0005856, GO:0030674, GO:0005737, GO:0007052, GO:0007049, GO:0000159, GO:0005813, GO:0008013, GO:0048566, GO:0033365
PAVE1_DN7206_c0_g1_i5.p1	GO:0005515, GO:0006282, GO:0035520, GO:0005654, GO:0005634, GO:0004843, GO:0001501, GO:0009411, GO:0005829, GO:0019985, GO:0006511, GO:0004197
PAVE1_DN2691_c0_g1_i4.p1	GO:0016021, GO:0006487, GO:0005789, GO:0004573, GO:0009311, GO:0005783
PAVE1_DN2612_c0_g1_i20.p1	GO:0016310, GO:0005515, GO:0005634, GO:0006230, GO:0071897, GO:0005737, GO:0009157
PAVE1_DN4223_c0_g1_i1.p1	GO:0005840, GO:0003735, GO:0006412, GO:0005762, GO:0005739
PAVE1_DN48366_c0_g1_i1.p1	GO:0045165, GO:0005615, GO:0005125, GO:0005576, GO:0060070, GO:0042476, GO:0048513, GO:0005109, GO:0030182
PAVE1_DN6762_c0_g1_i2.p1	GO:0004519, GO:0005634, GO:0006278, GO:0005737, GO:0003964, GO:0090305, GO:0005863
PAVE1_DN15756_c0_g1_i1.p1	GO:0005856, GO:0072686, GO:0051286, GO:0030659, GO:0005794, GO:0005737, GO:0031410, GO:0030123, GO:0006897, GO:0030131, GO:0006896, GO:0032153, GO:0035615, GO:0006886, GO:0044732
PAVE1_DN2102_c1_g2_i3.p1	GO:0005576, GO:0008201, GO:0007338
PAVE1_DN1288_c0_g2_i2.p1	GO:0007088, GO:0007052, GO:0007049, GO:0036064, GO:0070840, GO:0051301
PAVE1_DN44661_c0_g1_i1.p1	GO:0046872, GO:0007517, GO:0032982, GO:0005634, GO:0030154, GO:0040011, GO:0007626, GO:0005737, GO:0040032, GO:0031430, GO:0030239, GO:0006357
PAVE1_DN70114_c0_g1_i1.p1	GO:0048856, GO:0052689, GO:0005576
PAVE1_DN30509_c0_g1_i2.p1	GO:0000122, GO:0019082, GO:0005654, GO:0005634, GO:0042393, GO:0004857, GO:0070403, GO:0070212, GO:0097677, GO:0042531, GO:0006302, GO:0034356, GO:0005737, GO:0043086, GO:0003950, GO:0010629, GO:0016477, GO:0045893, GO:0140289, GO:0072570, GO:0005739, GO:1900182, GO:0032991, GO:0060335, GO:0044389, GO:0090734, GO:0002230, GO:1990404, GO:0045087, GO:2001034, GO:0016020, GO:0051607, GO:0005829, GO:0035563, GO:0003714, GO:0010608
PAVE1_DN6505_c0_g3_i1.p1	GO:0045760, GO:0005184, GO:0010841, GO:0016021, GO:0032230, GO:0007218, GO:0016020, GO:0051968, GO:0008542, GO:0071855
PAVE1_DN61916_c0_g1_i1.p1	GO:0003729, GO:0006397, GO:0032056, GO:0005634, GO:0005737, GO:0000290, GO:0005730, GO:0000184
PAVE1_DN2352_c2_g1_i1.p1	GO:0097228, GO:0031514, GO:0030317, GO:0097598, GO:0048240, GO:0005509, GO:0001932, GO:0044782, GO:0005829, GO:0005737, GO:0061512
PAVE1_DN2669_c1_g5_i1.p1	GO:0000077, GO:0005634, GO:0006281, GO:1905117, GO:0005737, GO:0043086, GO:1990846
PAVE1_DN20196_c0_g1_i1.p1	GO:0030437, GO:0051321, GO:0005515, GO:0005739
PAVE1_DN39512_c0_g1_i1.p1	GO:0061002, GO:0030154, GO:0016020, GO:0042995, GO:0005737, GO:0043087, GO:0005085, GO:0007399, GO:0030426, GO:0048013
PAVE1_DN51013_c0_g1_i1.p1	GO:0008270, GO:0005615, GO:0006508, GO:0004222, GO:0005576
PAVE1_DN36958_c0_g1_i1.p1	GO:0046872, GO:0005515, GO:0061630, GO:0005634, GO:0051321, GO:0005829
PAVE1_DN77860_c0_g1_i1.p1	GO:0016021, GO:0098655, GO:0005227, GO:0005886, GO:0003094, GO:1990760
PAVE1_DN17680_c0_g1_i1.p1	GO:0031511, GO:0005515, GO:0005634, GO:0000779, GO:0007049, GO:0034080, GO:0000070, GO:0051301, GO:0051382, GO:0005694, GO:0000776
PAVE1_DN21677_c0_g1_i1.p1	GO:0031718, GO:0005737, GO:2000272, GO:0005886, GO:0008022
PAVE1_DN29794_c0_g1_i1.p1	GO:0005654, GO:0005634, GO:0043966, GO:0045944, GO:0043388, GO:0001228, GO:0032733, GO:0043011, GO:0032736, GO:0120162, GO:0005515, GO:0034122, GO:0003713, GO:0032743, GO:0072540, GO:0000978, GO:0042832, GO:0032753, GO:0005829, GO:0000786, GO:0043967
PAVE1_DN8470_c0_g2_i4.p1	GO:0004519, GO:0004527, GO:0090305, GO:0042025
PAVE1_DN11071_c2_g1_i1.p1	GO:0005840, GO:0016021, GO:0016020, GO:0003735, GO:0006412
PAVE1_DN15188_c0_g1_i3.p1	GO:0016020, GO:0004563, GO:0102148, GO:0030203, GO:0006689, GO:0005975, GO:0005764
PAVE1_DN22461_c0_g1_i1.p1	GO:0016236, GO:0016021, GO:0004579, GO:0006260, GO:0031966, GO:0005739
PAVE1_DN65686_c0_g1_i1.p1	GO:0019082, GO:0016020, GO:0055036, GO:0003677, GO:0044172
PAVE1_DN54409_c0_g1_i1.p1	GO:0005634, GO:0005643, GO:0005737, GO:0006611, GO:0051028, GO:0005049, GO:0031267
PAVE1_DN4931_c1_g1_i3.p1	GO:0005829, GO:0004045, GO:0032543, GO:0005739
PAVE1_DN35886_c0_g1_i1.p1	GO:0006123, GO:0016021, GO:0005743, GO:1902600, GO:0004129, GO:0006119, GO:0005751, GO:0005739
PAVE1_DN49650_c0_g1_i1.p1	GO:0140664, GO:0005634, GO:0030983, GO:0005524, GO:0032301, GO:0000710
PAVE1_DN76_c0_g1_i7.p1	GO:0000122, GO:0046872, GO:0005515, GO:0005634, GO:0000785, GO:0001227, GO:0000978
PAVE1_DN355_c3_g1_i11.p1	GO:0005634, GO:0005737, GO:0004725, GO:0005829, GO:0005886, GO:0006470
PAVE1_DN8871_c0_g1_i2.p1	GO:0046355, GO:0016985, GO:0005576
PAVE1_DN1728_c1_g1_i1.p1	GO:0016020, GO:0016032, GO:0016021, GO:0042802
PAVE1_DN4803_c0_g1_i3.p1	GO:0001540, GO:0005615, GO:0005794, GO:0009617, GO:0005576, GO:0045178, GO:0042127
PAVE1_DN7614_c0_g1_i2.p1	GO:0009086, GO:0071949, GO:0106313, GO:0005829, GO:0106312, GO:0035999
PAVE1_DN14609_c0_g2_i1.p1	GO:0030246, GO:0051321, GO:0030435, GO:0005576, GO:0007059
PAVE1_DN59079_c0_g1_i1.p1	GO:0019899, GO:0016197, GO:0007165, GO:0012510, GO:0005829, GO:0019904, GO:0055037
PAVE1_DN8157_c2_g1_i3.p1	GO:0019901, GO:0090443, GO:0060562, GO:0098592, GO:0043406, GO:0005794, GO:0016324, GO:0007029, GO:0043547, GO:0005737, GO:0035838, GO:0005886, GO:1903358, GO:2001137
PAVE1_DN15865_c1_g1_i2.p1	GO:0005262, GO:0016021, GO:0016020, GO:0005509, GO:0050982, GO:0070588
PAVE1_DN200_c0_g1_i2.p1	GO:0004674, GO:0005615, GO:0006979, GO:0045087, GO:0009617, GO:0005576, GO:0034605, GO:0005524
PAVE1_DN2729_c0_g1_i8.p1	GO:0106310, GO:0004674, GO:0005515, GO:0004713, GO:0046777, GO:0005634, GO:0043484, GO:0005737, GO:0018108, GO:0005524, GO:0018107, GO:0004712, GO:0018105
PAVE1_DN23464_c0_g1_i2.p1	GO:0043010, GO:0016021, GO:0005515, GO:0007043, GO:0002088, GO:0005886
PAVE1_DN19717_c3_g1_i1.p1	GO:0005739, GO:0007268, GO:0005515, GO:0007165
PAVE1_DN11278_c0_g1_i1.p1	GO:0005515, GO:0035861, GO:0005634, GO:0005737, GO:0005829, GO:0006310
PAVE1_DN80146_c0_g1_i3.p1	GO:0005515, GO:0005634, GO:0050829, GO:0000978, GO:0000981, GO:0006357
PAVE1_DN2948_c1_g2_i2.p1	GO:0020037, GO:0042167, GO:0005506, GO:0005737, GO:0033212, GO:0004392
PAVE1_DN72203_c0_g1_i1.p1	GO:0005874, GO:0015630, GO:0050811, GO:0016020, GO:0008017, GO:1990904, GO:0005737, GO:0021756, GO:0019898, GO:0050890, GO:0015031, GO:0019894, GO:0019900, GO:0003723
PAVE1_DN3505_c0_g1_i1.p1	GO:0005856, GO:0008233, GO:0006508, GO:0030018, GO:0005737
PAVE1_DN3166_c3_g1_i2.p1	GO:0005769, GO:0042802, GO:0051125, GO:0007032, GO:0048666, GO:0030041, GO:0071203, GO:0015031, GO:0007409, GO:0060047, GO:0140285
PAVE1_DN8053_c0_g1_i4.p1	GO:0006541, GO:0005739, GO:0047981
PAVE1_DN80332_c0_g1_i1.p1	GO:0016021, GO:0008076, GO:0016020, GO:0071805, GO:0030425, GO:0034765, GO:0005249
PAVE1_DN46861_c0_g1_i1.p1	GO:0051923, GO:0008146, GO:0005737
PAVE1_DN2455_c0_g1_i3.p1	GO:0030154, GO:0016887, GO:0035591, GO:0070121, GO:0005694, GO:0035735, GO:0005856, GO:0019901, GO:0008017, GO:0005737, GO:0005576, GO:0010824, GO:0090317, GO:0035721, GO:0034451, GO:0032402, GO:0005119, GO:0140311, GO:0050953, GO:0060287, GO:0005815, GO:0008134, GO:0060271, GO:0005524, GO:0005929, GO:0003777, GO:0001669, GO:0000775, GO:0031625
PAVE1_DN46023_c0_g1_i1.p1	GO:0106310, GO:0035556, GO:0006468, GO:0002446, GO:0019221, GO:0043123, GO:1990266, GO:0019901, GO:0045087, GO:0005634, GO:0004674, GO:0005737, GO:0005886, GO:0005149, GO:0005524, GO:0000287, GO:0004712
PAVE1_DN70980_c0_g1_i1.p1	GO:0031334, GO:0005654, GO:0005634, GO:0035861, GO:0006281, GO:0000785, GO:0034184, GO:0044877, GO:2000781, GO:0031625, GO:1990166
PAVE1_DN9793_c0_g1_i6.p1	GO:1901255, GO:0070914, GO:0046872, GO:0033683, GO:0006284, GO:0005634, GO:0000715, GO:0000110, GO:0003684
PAVE1_DN21561_c1_g1_i1.p1	GO:0003924, GO:0050829, GO:1990904, GO:0005737, GO:0003746, GO:0006414, GO:0006412, GO:0010629, GO:0005525, GO:0043022
PAVE1_DN9851_c0_g1_i5.p1	GO:0016021, GO:0031902, GO:0043202, GO:1900015, GO:0005794, GO:0045145, GO:0006259, GO:0014902, GO:0005789, GO:0005737, GO:0006954, GO:0005768, GO:0031901, GO:0090305, GO:0000139, GO:0002376, GO:0005783, GO:0005764
PAVE1_DN11043_c0_g1_i3.p1	GO:0032222, GO:0005515, GO:0005576, GO:1903818, GO:0030431
