NYGR1_DN1492_c0_g1_i2.p1	GO:0004364, GO:0006749, GO:0005737
NYGR1_DN7853_c0_g1_i1.p1	GO:0050896, GO:0005044, GO:0007608, GO:0005886, GO:0006897, GO:0016021, GO:0005737
NYGR1_DN3039_c0_g4_i1.p1	GO:0004222, GO:0005576, GO:0006508, GO:0008270
NYGR1_DN38372_c0_g1_i1.p1	GO:1902902, GO:0005515, GO:0005737, GO:0016236
NYGR1_DN6588_c0_g3_i1.p1	GO:0005829, GO:0043086, GO:0010921, GO:0004865
NYGR1_DN4259_c0_g1_i1.p1	GO:0098632, GO:0005576, GO:0005581, GO:0007155
NYGR1_DN49555_c0_g1_i1.p1	GO:0030154, GO:0016020, GO:0016021, GO:0008076, GO:0005249, GO:0030425
NYGR1_DN20386_c0_g1_i2.p2	GO:0043186, GO:0016324, GO:0007281, GO:0005886, GO:0016021, GO:0017151, GO:0018996, GO:0005737
NYGR1_DN1198_c1_g1_i1.p1	GO:0006357, GO:0000981, GO:0008270, GO:0000978, GO:0005634
NYGR1_DN37720_c0_g1_i1.p2	GO:0005768, GO:0000813, GO:0005515, GO:0043162, GO:0006623, GO:0006612
NYGR1_DN1114_c0_g1_i1.p1	GO:0005739, GO:0003676, GO:0005829, GO:0000175, GO:0006364, GO:0005634, GO:0090503, GO:0005737
NYGR1_DN42216_c0_g1_i1.p1	GO:0005856, GO:0097730, GO:0005515, GO:0060756, GO:0060271, GO:0005814, GO:0005737
NYGR1_DN1347_c0_g1_i9.p1	GO:0000003, GO:0030512, GO:0005912, GO:0005887, GO:0042661, GO:0005576, GO:0040015, GO:1901048, GO:0005515, GO:0005615, GO:0040010, GO:0032876
NYGR1_DN2679_c0_g1_i1.p2	GO:0016226, GO:0030097, GO:0005739, GO:0097573, GO:0046872, GO:0005759, GO:0051537, GO:0005737
NYGR1_DN4308_c0_g2_i1.p1	GO:0005694, GO:0005654, GO:0051301, GO:0000775, GO:0007049, GO:0005634, GO:0006355, GO:0000776, GO:0034080, GO:0005112
NYGR1_DN5642_c1_g1_i2.p1	GO:0006915, GO:0016020, GO:0003723, GO:0006914, GO:0001844, GO:0008630, GO:0008625, GO:2000786, GO:0090200, GO:1903561, GO:0043065, GO:0042802, GO:0097192
NYGR1_DN39567_c0_g1_i1.p1	GO:0046843, GO:0042600, GO:0005576, GO:0005213
NYGR1_DN15257_c0_g1_i1.p1	GO:0005694, GO:1990423, GO:0007094, GO:0051301, GO:0000775, GO:0007049, GO:0000776, GO:0005515, GO:0034501
NYGR1_DN34054_c0_g1_i1.p1	GO:0030154, GO:0016020, GO:0007283, GO:0006508, GO:0007155, GO:0016021, GO:0007339, GO:0004222
NYGR1_DN6177_c0_g1_i1.p1	GO:0005694, GO:0051382, GO:0051301, GO:0000775, GO:0007049, GO:0005829, GO:0000776, GO:0005515, GO:0000070, GO:0031511, GO:0005874, GO:0005634
NYGR1_DN10727_c0_g1_i2.p1	GO:0006325, GO:0005515, GO:0005634
NYGR1_DN20994_c0_g1_i1.p1	GO:0046907, GO:0097546, GO:0010496, GO:0005515, GO:0005929
NYGR1_DN11717_c0_g1_i1.p1	GO:0090363, GO:0031423, GO:0043248, GO:0006974, GO:0006511, GO:0005634, GO:0005737
NYGR1_DN23_c0_g1_i1.p1	GO:0042470, GO:0005509, GO:0005789, GO:0048488, GO:0030246, GO:0030433, GO:0098793, GO:0016021, GO:0051082, GO:0006457, GO:0005783, GO:0072583
NYGR1_DN7267_c0_g1_i2.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN7127_c0_g1_i1.p1	GO:0042575, GO:0003887, GO:0071897, GO:0003676, GO:0015074, GO:0008270, GO:0019899, GO:0005737
NYGR1_DN843_c0_g1_i2.p1	GO:0005694, GO:0000782, GO:0042162, GO:0039503, GO:0000781, GO:0000775, GO:0030683, GO:0005515, GO:0005634
NYGR1_DN40556_c0_g1_i1.p1	GO:0005777, GO:0005053, GO:0005829, GO:0016558, GO:0005782, GO:0005737
NYGR1_DN342_c0_g1_i1.p1	GO:0016236, GO:0010314, GO:0080025, GO:0044804, GO:0019898, GO:0005737, GO:0000045, GO:0070273, GO:0005829, GO:0034045, GO:0005515, GO:0000422, GO:0006497, GO:0032266, GO:0034497
NYGR1_DN999_c0_g1_i1.p1	GO:0005615, GO:0005179, GO:0005576, GO:0007218
NYGR1_DN23179_c0_g1_i1.p1	GO:0005516, GO:0032310, GO:0046872, GO:0032755, GO:0004517, GO:0032757, GO:0018119, GO:1900015, GO:0006809, GO:0005628
NYGR1_DN4699_c0_g1_i1.p1	GO:0003677, GO:0051216, GO:0006351, GO:0048703, GO:0005634, GO:1904888, GO:0005736, GO:0003899, GO:0046983, GO:0042254, GO:0005666
NYGR1_DN28400_c0_g1_i1.p1	GO:0051346, GO:0005739, GO:0006783, GO:0042030, GO:0051289, GO:0051117, GO:0043009, GO:0030218, GO:0042803, GO:0032780
NYGR1_DN27679_c0_g1_i1.p1	GO:0046872, GO:0005829, GO:0005730, GO:0006281, GO:0003727, GO:0090502, GO:0006397, GO:0005634, GO:0016891, GO:0005737
NYGR1_DN38286_c0_g1_i1.p1	GO:0039503, GO:0000324, GO:0030683, GO:0005774, GO:0016021, GO:0005515
NYGR1_DN48602_c0_g1_i1.p1	GO:0016987, GO:0005654, GO:0045120, GO:0032774, GO:0003677, GO:0003899, GO:0005829, GO:2000142, GO:0005938, GO:0005783, GO:0032991
NYGR1_DN13655_c0_g1_i1.p1	GO:0031965, GO:0004579, GO:0008285, GO:0016021, GO:0005634, GO:0005737
NYGR1_DN24534_c0_g1_i1.p1	GO:0005694, GO:0045944, GO:0005654, GO:0000781, GO:0002949, GO:0000408, GO:1990145, GO:0005829, GO:0005515, GO:0000722, GO:0005634
NYGR1_DN19090_c0_g1_i1.p2	GO:0008340, GO:0000502, GO:0008233, GO:0007370, GO:0043161, GO:0005654, GO:0005829, GO:0005839, GO:0019773, GO:0005634, GO:0005737
NYGR1_DN2755_c0_g1_i2.p1	GO:0004569, GO:0005975, GO:0000139, GO:0007342, GO:0007155, GO:0016021, GO:0005794, GO:0007338
NYGR1_DN7415_c0_g1_i1.p1	GO:0000943, GO:0003676, GO:0015074, GO:0005634, GO:0005737
NYGR1_DN19580_c0_g1_i1.p1	GO:0090303, GO:0030336, GO:0090521, GO:0046627, GO:0008283, GO:0035024, GO:0005737, GO:0005856, GO:0032587, GO:2000393, GO:0010977, GO:1900025, GO:0090263, GO:1900028, GO:0008013, GO:0005634, GO:0030036, GO:2000114, GO:0042995, GO:0030837, GO:0005886
NYGR1_DN5713_c0_g1_i1.p1	GO:0016485, GO:0005739, GO:0004190, GO:0043588
NYGR1_DN25771_c0_g1_i1.p1	GO:0051321, GO:0005739, GO:0005515, GO:0016021, GO:0005743
NYGR1_DN45118_c0_g1_i1.p1	GO:0005515, GO:0031146, GO:0019005
NYGR1_DN4276_c0_g1_i1.p1	GO:0005856, GO:0072686, GO:0045944, GO:0048471, GO:0006469, GO:0003723, GO:0005737, GO:0000993, GO:0005829, GO:0005813, GO:0006388, GO:0005634, GO:0072669
NYGR1_DN9944_c0_g3_i1.p2	GO:0051321, GO:0005789, GO:0003677, GO:0016021, GO:0005783
NYGR1_DN41811_c0_g1_i1.p1	GO:0005576, GO:0008011, GO:0007369
NYGR1_DN26514_c0_g1_i3.p1	GO:0016020, GO:0039503, GO:0046872, GO:0030683, GO:0016021
NYGR1_DN15726_c0_g1_i1.p1	GO:0000122, GO:0046872, GO:0001227, GO:0000977, GO:0000785, GO:0005634
NYGR1_DN2861_c1_g1_i1.p1	GO:0055070, GO:0005515, GO:0046872, GO:0000324
NYGR1_DN6088_c0_g1_i1.p1	GO:0016020, GO:0016021, GO:0055085, GO:0022857, GO:0005783
NYGR1_DN46107_c0_g1_i1.p1	GO:0006886, GO:0030117, GO:0043424, GO:0031410, GO:0030131, GO:0030276, GO:0016192, GO:0030665, GO:0005794
NYGR1_DN39645_c0_g1_i1.p1	GO:0030430, GO:0039649, GO:0039648, GO:0005515
NYGR1_DN35656_c0_g1_i1.p1	GO:0005694, GO:0000781, GO:0007129, GO:0005637, GO:0005515, GO:0070197, GO:0005634, GO:0045141
NYGR1_DN1943_c1_g1_i3.p1	GO:0030154, GO:0008494, GO:0007283, GO:0070935, GO:0003730, GO:0045948, GO:0005515, GO:0005634, GO:0032991, GO:0005737
NYGR1_DN6315_c0_g1_i1.p1	GO:0005887, GO:0005886, GO:0005515, GO:0005794, GO:0006865
NYGR1_DN1164_c0_g1_i2.p1	GO:0034245, GO:0005739, GO:0003677, GO:0006390, GO:0003899
NYGR1_DN19463_c0_g1_i1.p1	GO:0006886, GO:0005198, GO:0006888, GO:0005795, GO:0006890, GO:0010883, GO:0031410, GO:0005737, GO:0006891, GO:0030663, GO:0030126, GO:0005794, GO:0000139
NYGR1_DN541_c0_g1_i2.p2	GO:0016020, GO:0036085, GO:0036066, GO:0016021, GO:0035436, GO:0005515, GO:1990536
NYGR1_DN12245_c0_g2_i1.p1	GO:0010764, GO:0015031, GO:0005929, GO:1900016, GO:0035869, GO:0010760, GO:0061041, GO:0070121, GO:0050728, GO:0060271, GO:0016491, GO:0006954, GO:0005737
NYGR1_DN4320_c0_g1_i2.p1	GO:0000122, GO:0005615, GO:0043086, GO:0005791, GO:0005737, GO:0034021, GO:0032696, GO:0032713, GO:0009410, GO:0051384, GO:0007165, GO:0010193, GO:0030141, GO:0005635, GO:0050727, GO:0032689, GO:0071774, GO:0005576, GO:0042130, GO:0032496, GO:0032714, GO:0034097, GO:0043488, GO:0019834, GO:0097160
NYGR1_DN44230_c0_g1_i2.p1	GO:0006900, GO:0015031, GO:0032511, GO:0031902, GO:0000815, GO:0005515, GO:0005771, GO:0012505
NYGR1_DN5747_c0_g2_i1.p1	GO:0005694, GO:0006357, GO:0000781, GO:0046872, GO:0010833, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN2857_c0_g1_i3.p1	GO:0039503, GO:0046872, GO:0030683, GO:0005576, GO:0031490
NYGR1_DN32206_c1_g1_i1.p1	GO:0042575, GO:0003887, GO:0071897, GO:0003676, GO:0015074, GO:0008270, GO:0019899, GO:0005737
NYGR1_DN4641_c0_g1_i1.p1	GO:0004930, GO:0016020, GO:0045087, GO:0005887
NYGR1_DN19964_c0_g1_i1.p1	GO:0030534, GO:0046872, GO:0009566, GO:0030430, GO:0008584
NYGR1_DN187_c0_g1_i1.p1	GO:0007165, GO:0005125, GO:0032736, GO:0042531, GO:0032733, GO:0001961, GO:0005139, GO:0005576, GO:0071654, GO:0032755, GO:0008284, GO:0050729, GO:0071657, GO:0043066, GO:1904894, GO:0033005, GO:0005615, GO:0032754
NYGR1_DN48183_c0_g1_i1.p1	GO:0042940, GO:0016020, GO:0015807, GO:0005887, GO:0015179, GO:0015804, GO:1902475, GO:0042943, GO:0015175, GO:0005283, GO:0006814
NYGR1_DN6847_c0_g1_i3.p1	GO:0005856, GO:1902426, GO:0005816, GO:0072686, GO:0005882, GO:0005200, GO:0045104, GO:0000235, GO:0000922, GO:0008017, GO:0000776, GO:0000070, GO:0000164, GO:0007052, GO:0005634, GO:0034501, GO:0005737
NYGR1_DN47150_c0_g1_i1.p1	GO:0005769, GO:0055037, GO:0046872, GO:0061630, GO:0051865, GO:0006511, GO:0005515, GO:0000151, GO:0005634, GO:0005737
NYGR1_DN6226_c0_g1_i1.p1	GO:0051321, GO:0003723, GO:0007131, GO:0030998, GO:0042138, GO:0007059, GO:0005829, GO:0005634, GO:0005737
NYGR1_DN16177_c0_g1_i1.p1	GO:0030036, GO:0001725, GO:0005925, GO:0007015, GO:0051015
NYGR1_DN78_c0_g2_i1.p1	GO:0005654, GO:0005829, GO:0005783, GO:0045071, GO:0005737, GO:0005694, GO:0030154, GO:0045070, GO:0016363, GO:0000245, GO:0008380, GO:0005515, GO:0004712, GO:0005524, GO:0106310, GO:0016607, GO:0035556, GO:0000785, GO:0005634, GO:0000287, GO:0007059, GO:0006468, GO:0050684, GO:0005886, GO:0006397, GO:0004674
NYGR1_DN32776_c0_g1_i2.p1	GO:0005765, GO:0046872, GO:0006914, GO:0005764, GO:0032008
NYGR1_DN7029_c0_g1_i1.p1	GO:0016020, GO:0016021, GO:0005515, GO:0046740, GO:0020002
NYGR1_DN15449_c0_g1_i3.p1	GO:0005789, GO:0004864, GO:0005886, GO:0005903, GO:0019902, GO:0043086, GO:0005902
NYGR1_DN19217_c0_g1_i1.p1	GO:0001111, GO:0000112, GO:0043138, GO:0005524, GO:0016887, GO:0006367, GO:0003677, GO:0005675, GO:0097550, GO:0005515, GO:0006289, GO:0032508, GO:0006366, GO:0009411, GO:0001113, GO:0033683, GO:0005634
NYGR1_DN436_c0_g1_i12.p1	GO:0090305, GO:0000076, GO:0000729, GO:0006281, GO:0071932, GO:0017108, GO:0043139, GO:0016887, GO:0051539, GO:0005737, GO:0046872, GO:0006260, GO:0005524, GO:0017116, GO:0003677, GO:0005634, GO:0033567, GO:0003723, GO:0005739, GO:0032508
NYGR1_DN16103_c0_g1_i1.p1	GO:0006112, GO:1903077, GO:0016020, GO:0072659, GO:0031783, GO:0031781, GO:0070996, GO:0007631, GO:0031782, GO:0016021, GO:0106072, GO:0097009, GO:0106071, GO:0030545, GO:0042802, GO:0031780
NYGR1_DN20672_c0_g1_i2.p1	GO:0061643, GO:0008045, GO:1990782, GO:0044295, GO:0031115, GO:0040017, GO:0005887, GO:0045138, GO:1905488, GO:0008078, GO:0007419, GO:0030950, GO:0043005, GO:0035262, GO:0033563, GO:0071679, GO:0038007, GO:0005042, GO:1905815, GO:0097628, GO:0009605, GO:0045773, GO:0005886, GO:0045121
NYGR1_DN39499_c0_g1_i1.p1	GO:0050829, GO:0070482, GO:0005739, GO:0009792, GO:0045087, GO:0040014, GO:0000303, GO:0040010, GO:0009411, GO:0032504, GO:0016491
NYGR1_DN45705_c0_g1_i1.p1	GO:0010496, GO:0005515, GO:0009506, GO:0005783, GO:0046907
NYGR1_DN44091_c0_g1_i1.p1	GO:0016020, GO:0008250, GO:0004579, GO:0016021, GO:0005515, GO:0006486
NYGR1_DN27405_c0_g1_i1.p1	GO:0005739, GO:0030150, GO:0045040, GO:0070096, GO:0005515, GO:0001401, GO:0005741
NYGR1_DN10297_c0_g1_i2.p1	GO:0033299, GO:0003944, GO:0016021, GO:0032580, GO:0006486, GO:0005794
NYGR1_DN3541_c0_g1_i4.p1	GO:0000122, GO:0051087, GO:0051085, GO:0050821, GO:0005829, GO:0008134, GO:0051082, GO:0009408, GO:0042691, GO:0005737
NYGR1_DN919_c0_g2_i1.p1	GO:0043186, GO:0016324, GO:0007281, GO:0005886, GO:0016021, GO:0017151, GO:0018996, GO:0005737
NYGR1_DN37807_c0_g1_i1.p1	GO:0005694, GO:0030915, GO:0019046, GO:0005829, GO:0019042, GO:0005515, GO:0005634, GO:0005737
NYGR1_DN33698_c0_g1_i1.p1	GO:0030099, GO:0005654, GO:0030334, GO:0046777, GO:0060562, GO:2000696, GO:0043542, GO:0005737, GO:0005952, GO:0001525, GO:0030155, GO:0004712, GO:0007165, GO:0005524, GO:0106310, GO:0031589, GO:0060993, GO:0005634, GO:0001935, GO:0018105, GO:0004691
NYGR1_DN15828_c0_g1_i1.p1	GO:0006488, GO:0090482, GO:0005789, GO:0005542, GO:0034203, GO:0016021
NYGR1_DN32386_c0_g1_i1.p1	GO:0005673, GO:0005654, GO:0006367, GO:0003677, GO:0005669, GO:0005829, GO:0005515, GO:0016607, GO:0006366, GO:0016251, GO:0005634
NYGR1_DN475_c0_g1_i2.p1	GO:0005524, GO:0016207, GO:0009698, GO:0005783, GO:0005737
NYGR1_DN39732_c0_g1_i1.p1	GO:0005654, GO:0003723, GO:0046872, GO:1990837, GO:0000381, GO:0008380, GO:0006397, GO:0005634, GO:0005737
NYGR1_DN4113_c0_g1_i1.p1	GO:0090729, GO:0005576, GO:0035821, GO:0042151
NYGR1_DN34826_c0_g1_i1.p1	GO:0032243, GO:0005576, GO:0045920, GO:0050892, GO:0006355, GO:0005515, GO:0010829, GO:0005615, GO:0019871, GO:0042997
NYGR1_DN12134_c0_g2_i1.p1	GO:0071944, GO:0004755, GO:0005737, GO:0019878
NYGR1_DN32057_c0_g1_i1.p1	GO:0008514, GO:0005524, GO:0016020, GO:0015562, GO:0140359, GO:0016021, GO:0015711, GO:0055085
NYGR1_DN12990_c0_g1_i1.p1	GO:0003697, GO:0005576, GO:0000150, GO:0003735, GO:0009968
NYGR1_DN45001_c0_g1_i1.p1	GO:0016598, GO:0005829, GO:0004057, GO:0071596, GO:0006399, GO:0005634, GO:0005737
NYGR1_DN20499_c0_g1_i1.p1	GO:0043626, GO:0005654, GO:1900264, GO:0005829, GO:0042276, GO:1903460, GO:0045739, GO:0030337, GO:1903364, GO:0045740, GO:0005515, GO:0006260, GO:0003677, GO:0043596, GO:0070987, GO:0000785, GO:0035861, GO:1903459, GO:0005634, GO:0006298, GO:0070914
NYGR1_DN46365_c0_g1_i1.p1	GO:0007268, GO:0036159, GO:0070840, GO:0045202, GO:0036158, GO:0060271, GO:0005930, GO:0005929
NYGR1_DN44866_c0_g1_i1.p1	GO:0098670, GO:0016020, GO:0005125, GO:0005139, GO:0046718, GO:0055036
NYGR1_DN1692_c0_g1_i3.p1	GO:0006914, GO:0045087, GO:0006511, GO:0043130, GO:0031624, GO:0006954, GO:0016310, GO:0005737
NYGR1_DN45633_c0_g1_i1.p1	GO:0030154, GO:0036002, GO:0030237, GO:2000035, GO:0046660, GO:0005515, GO:0016607, GO:0000398, GO:0005634, GO:1990399
NYGR1_DN49100_c0_g1_i1.p1	GO:0003884, GO:0019478, GO:0005777, GO:0071949
NYGR1_DN7024_c0_g1_i1.p1	GO:0016020, GO:0039503, GO:0030683, GO:0016021, GO:0033644, GO:0005515
NYGR1_DN49081_c0_g1_i1.p1	GO:0000023, GO:0030246, GO:0032450, GO:0009536, GO:0005783
NYGR1_DN7285_c0_g1_i3.p1	GO:0019284, GO:0019509, GO:0005634, GO:0046523, GO:0005737
NYGR1_DN394_c0_g1_i10.p1	GO:0003676, GO:0015074, GO:0006355, GO:0005515, GO:0005634
NYGR1_DN11559_c0_g1_i4.p1	GO:0016021, GO:0016020, GO:0055085, GO:0022857
NYGR1_DN8624_c0_g1_i1.p1	GO:0003690, GO:0039503, GO:0030430, GO:0030683, GO:0005515, GO:0019033
NYGR1_DN3293_c0_g1_i1.p1	GO:0006914, GO:0030017, GO:0000045, GO:0010506, GO:0055120, GO:0042803, GO:0005783, GO:0005737
NYGR1_DN9074_c0_g1_i2.p1	GO:0003723, GO:0005739, GO:0005763, GO:0003735, GO:0005840, GO:0006412
NYGR1_DN2219_c0_g1_i3.p1	GO:0046872, GO:0006515, GO:0120125, GO:0000224, GO:0035977, GO:0005829, GO:0097466, GO:0005634, GO:0005737
NYGR1_DN5714_c0_g2_i1.p1	GO:0050771, GO:2000114, GO:0007399, GO:0030154, GO:0005789, GO:0045773, GO:0071889, GO:0090316, GO:0007015, GO:0030335, GO:0016021, GO:0012505, GO:0042802, GO:0005783
NYGR1_DN20243_c0_g1_i1.p1	GO:0048738, GO:0007268, GO:0007507, GO:0048468, GO:0007601, GO:0086053, GO:0034220, GO:0005216, GO:0005886, GO:0016021, GO:0086077, GO:0001570, GO:0016264, GO:0045202, GO:0005921, GO:0005922
NYGR1_DN45113_c0_g1_i1.p1	GO:0016567, GO:0061630, GO:0033768, GO:0120290, GO:0006511, GO:0006281, GO:0005515, GO:0008270, GO:0005634
NYGR1_DN19327_c0_g1_i1.p1	GO:0005654, GO:0006261, GO:1990756, GO:0070121, GO:0005730, GO:0097344, GO:0120293, GO:0005656, GO:0006364, GO:0005634, GO:0007368, GO:0005737
NYGR1_DN26352_c0_g1_i1.p1	GO:0072344, GO:0005739, GO:0006415, GO:0006412, GO:0000049, GO:0043023, GO:0003747
NYGR1_DN5142_c0_g1_i1.p1	GO:0000122, GO:0046872, GO:0003677, GO:0005515, GO:0005634
NYGR1_DN21522_c0_g1_i1.p1	GO:0035091, GO:0051321, GO:0005789, GO:0016021, GO:0005783
NYGR1_DN39941_c0_g1_i1.p1	GO:0030173, GO:0072334, GO:0048471, GO:0005462, GO:0008643, GO:0005459, GO:1990569, GO:0005794, GO:0000139
NYGR1_DN16774_c0_g1_i1.p1	GO:0060438, GO:0035149, GO:0042302, GO:0016324, GO:0035001, GO:0007424, GO:0005886, GO:0016021, GO:0035002, GO:1905477
NYGR1_DN40102_c0_g1_i1.p1	GO:0005856, GO:0031625, GO:0016020, GO:0042826, GO:0050750, GO:0010468, GO:1990393, GO:0005829, GO:0019901, GO:0043254, GO:0005634, GO:0005737
NYGR1_DN28275_c0_g1_i1.p1	GO:0015031, GO:0005765, GO:0005739, GO:0005789, GO:1905146, GO:0019898, GO:0005085, GO:0005768, GO:0044233, GO:0099013, GO:0031267, GO:0005764, GO:0005811, GO:0098992, GO:0005783, GO:0010008, GO:0005794, GO:0005741
NYGR1_DN20528_c0_g1_i1.p1	GO:0015031, GO:0005123, GO:0005765, GO:0005739, GO:0005789, GO:1905146, GO:0019898, GO:0005768, GO:0044233, GO:0099013, GO:0005764, GO:0016230, GO:0005811, GO:0098992, GO:0005783, GO:0010008, GO:0005794, GO:0005741
NYGR1_DN7434_c0_g1_i1.p1	GO:0016020, GO:0034220, GO:0016021, GO:0022857, GO:0005783
NYGR1_DN13009_c0_g1_i1.p1	GO:0003779, GO:0005739, GO:0005759, GO:1903457, GO:0071949, GO:0051990, GO:0004458
NYGR1_DN2821_c0_g1_i3.p1	GO:0030154, GO:0001745, GO:0046872, GO:0005085, GO:0007283, GO:0007266, GO:0005829, GO:0005886, GO:0031267, GO:0005096, GO:0050790, GO:0005737
NYGR1_DN39283_c0_g1_i1.p1	GO:0016020, GO:0008643, GO:0016021, GO:0055085, GO:0022857
NYGR1_DN41345_c0_g1_i2.p1	GO:0051287, GO:0006979, GO:0030267, GO:0003858, GO:0005737, GO:0005829, GO:0050661
NYGR1_DN13237_c0_g1_i3.p2	GO:1905117, GO:0005739, GO:0000077, GO:0006281, GO:1990846, GO:0043086
NYGR1_DN6203_c0_g1_i1.p1	GO:0005576, GO:0007411, GO:0007155, GO:0005886, GO:0045499, GO:0042592, GO:0030215
NYGR1_DN10120_c0_g1_i3.p1	GO:0042981, GO:0005694, GO:0045892, GO:0000786, GO:0035267, GO:0051726, GO:0006325, GO:0048706, GO:0045893, GO:0003682, GO:0000724, GO:0008270, GO:0043968, GO:0043967, GO:0035064, GO:0005634, GO:1905168
NYGR1_DN327_c0_g2_i1.p1	GO:0045944, GO:0046872, GO:0001228, GO:0000978, GO:0005634
NYGR1_DN198_c0_g1_i4.p1	GO:0050829, GO:0019899, GO:0045944, GO:0005739, GO:0001228, GO:0034514, GO:0045087, GO:0006390, GO:0005759, GO:1903108, GO:0061063, GO:0034246, GO:0000977, GO:0010628, GO:0005634, GO:0005737
NYGR1_DN47805_c0_g1_i1.p1	GO:0005856, GO:0007399, GO:0045746, GO:0005634, GO:0005813, GO:0007219, GO:0015631, GO:0051168, GO:0022008, GO:0005737
NYGR1_DN5341_c1_g1_i17.p1	GO:0000978, GO:0005634, GO:0045944, GO:0001228
NYGR1_DN9594_c0_g1_i3.p1	GO:0007399, GO:0043621, GO:0005576, GO:0003391, GO:0032590, GO:0005886, GO:0016021, GO:1990138, GO:0030425
NYGR1_DN11010_c0_g1_i3.p1	GO:0000329, GO:0005524, GO:0042626, GO:0055085
NYGR1_DN20950_c0_g1_i1.p1	GO:0007399, GO:0030154, GO:0016020, GO:0045773, GO:0007411, GO:0007156, GO:0016021, GO:0008046, GO:0050808
NYGR1_DN8108_c0_g1_i4.p1	GO:0042025, GO:0046872, GO:0030430, GO:0046718, GO:0019033, GO:0019064
NYGR1_DN6035_c0_g1_i1.p1	GO:0005694, GO:0030915, GO:0005634, GO:0005515, GO:0006281, GO:0048478, GO:0006310
NYGR1_DN2116_c0_g1_i7.p1	GO:0005815, GO:0005856, GO:0060491, GO:0043014, GO:0000922, GO:0030335, GO:0051897, GO:0005874, GO:0005938, GO:0005634
NYGR1_DN34994_c0_g1_i1.p1	GO:0010496, GO:0005515, GO:0009506, GO:0005783, GO:0046907
NYGR1_DN31772_c0_g1_i1.p1	GO:0009792, GO:0070782, GO:0017128, GO:0005886, GO:0016021, GO:1902742, GO:0043652, GO:0097194
NYGR1_DN45086_c0_g1_i1.p1	GO:0005515, GO:0031146, GO:0019005
NYGR1_DN1423_c0_g1_i2.p1	GO:0006661, GO:0003881, GO:0046872, GO:0016324, GO:0016328, GO:0071711, GO:0005886, GO:0016021, GO:0007602, GO:0005794
NYGR1_DN250_c0_g6_i3.p1	GO:0043005, GO:0090305, GO:0004519, GO:0003964, GO:0006278, GO:0005886, GO:0016021
NYGR1_DN22258_c0_g1_i1.p1	GO:0048471, GO:0046872, GO:0005789, GO:0046475, GO:0004622, GO:0016021, GO:0008081, GO:0070291, GO:0005783, GO:0005737
NYGR1_DN1198_c1_g2_i2.p1	GO:0000122, GO:0046872, GO:0003677, GO:0005515, GO:0005634
NYGR1_DN5144_c0_g1_i1.p1	GO:0070209, GO:0050821, GO:0032006, GO:0005515, GO:0110078, GO:0031931, GO:0006338, GO:2000003, GO:0005634, GO:0031932, GO:0005737
NYGR1_DN44979_c0_g1_i1.p1	GO:0007399, GO:0005789, GO:0006914, GO:0017121, GO:0000045, GO:0017128, GO:0016021
NYGR1_DN5844_c0_g1_i1.p1	GO:0005576, GO:0071855, GO:0005615, GO:0007218, GO:0019932, GO:0040013
NYGR1_DN14303_c0_g1_i1.p1	GO:0031965, GO:0008285, GO:0016021, GO:0005515, GO:0005634, GO:0005737
NYGR1_DN41237_c0_g1_i1.p2	GO:0046872, GO:0016485, GO:0005634, GO:0043588
NYGR1_DN14046_c0_g1_i1.p1	GO:0003723, GO:0021987, GO:0000245, GO:0071014, GO:1990416, GO:0000974, GO:0016607, GO:1990830, GO:0071007, GO:0000398, GO:0005634
NYGR1_DN3456_c0_g1_i4.p1	GO:0038039, GO:0040012, GO:0032223, GO:0007186, GO:0005886, GO:0016021, GO:0007214, GO:0009410, GO:0004965, GO:1902712
NYGR1_DN46653_c0_g1_i1.p1	GO:0039511, GO:0098662, GO:0016020, GO:0005739, GO:0030683, GO:0039502, GO:0005216, GO:0016021, GO:0039707, GO:0042802, GO:0051259, GO:0005783
NYGR1_DN39463_c0_g1_i1.p1	GO:0042981, GO:0005739, GO:0045087, GO:0010313, GO:0006954, GO:0005634, GO:0005737
NYGR1_DN2299_c0_g1_i8.p1	GO:0000981, GO:0006357, GO:0005634, GO:0000978
NYGR1_DN14929_c0_g1_i1.p1	GO:0003677, GO:0005634, GO:0006310, GO:0015074
NYGR1_DN13134_c0_g1_i1.p1	GO:0018108, GO:0005524, GO:0005887, GO:0033674, GO:0004712, GO:0004714, GO:0005886, GO:0007169, GO:0043235
NYGR1_DN45644_c0_g1_i1.p1	GO:0045196, GO:0044183, GO:0051082, GO:0006457, GO:0016272, GO:0005737
NYGR1_DN3806_c0_g1_i1.p1	GO:0016070, GO:0005524, GO:0016020, GO:0003723, GO:0003724, GO:0005730, GO:0005515, GO:0016887
NYGR1_DN35029_c0_g1_i1.p1	GO:0005856, GO:0005524, GO:0045292, GO:0006325, GO:0031514, GO:0016887, GO:0005737
NYGR1_DN196_c0_g1_i1.p1	GO:0005850, GO:0046872, GO:0003743, GO:0005829, GO:0006413, GO:0006412, GO:0005634, GO:0005737
