DRYU1_DN6430_c0_g1_i3.p1	GO:0006355, GO:0005634, GO:0003700
DRYU1_DN291_c0_g1_i51.p1	GO:0005524, GO:0005634, GO:0061631, GO:0016567, GO:0008270
DRYU1_DN7322_c0_g1_i2.p1	GO:0032508, GO:0006289, GO:0005515, GO:0062023, GO:0005654
DRYU1_DN6273_c0_g1_i6.p1	GO:0031047, GO:0031499, GO:0005829, GO:0005730, GO:0031380, GO:0031048, GO:0005737, GO:0031508, GO:0031123, GO:0005634, GO:0005524, GO:0003723, GO:0004652, GO:0043631, GO:0046872, GO:0007049, GO:0007059
DRYU1_DN14107_c0_g1_i1.p1	GO:0034220, GO:0032983, GO:0035235, GO:0016021, GO:1904315, GO:0060078, GO:0015277, GO:0050804, GO:0035249, GO:0042734, GO:0005886, GO:0045202, GO:0045211
DRYU1_DN1460_c0_g1_i9.p1	GO:0034657, GO:0005829, GO:0005737, GO:0008270, GO:0005634, GO:0016567, GO:0045721, GO:0043161, GO:0061630
DRYU1_DN4186_c0_g1_i1.p1	GO:0046856, GO:0004438, GO:0070382, GO:0046872, GO:0052629
DRYU1_DN10007_c0_g1_i2.p1	GO:0009257, GO:0005829, GO:0006164, GO:0005739, GO:0004477, GO:0005524, GO:0004329, GO:0035999, GO:0004488, GO:0000105, GO:0009113, GO:0046656, GO:0009086
DRYU1_DN25578_c0_g1_i1.p1	GO:0005829, GO:0005634, GO:0005515, GO:0010780, GO:0051321
DRYU1_DN7411_c0_g1_i1.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN4756_c0_g1_i2.p1	GO:0050790, GO:0070507, GO:0032012, GO:0005085, GO:0048678, GO:0046602, GO:0005543, GO:0005938, GO:0007077, GO:0005515, GO:0048692, GO:0007019, GO:0005886, GO:1902845, GO:0036449
DRYU1_DN44_c0_g1_i5.p1	GO:0005829, GO:0005504, GO:0005634, GO:0005515, GO:0015908
DRYU1_DN5865_c0_g1_i2.p1	GO:0032266, GO:0043547, GO:0009968, GO:0005769, GO:0006886, GO:0031901
DRYU1_DN24884_c0_g1_i1.p1	GO:0035041, GO:0002080, GO:0005737, GO:0016021, GO:0035045, GO:0001669, GO:0016567, GO:0007338, GO:0061630, GO:0008270, GO:0035042
DRYU1_DN31757_c0_g1_i1.p1	GO:0045143, GO:0000776, GO:0005634, GO:0005515, GO:0033551, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN31999_c0_g1_i1.p1	GO:0030659, GO:0007186, GO:0031410, GO:0002305, GO:0051482, GO:0005887, GO:0005886, GO:0032720, GO:0035025, GO:0002300, GO:0004930, GO:0002689
DRYU1_DN10446_c0_g1_i1.p1	GO:0005525, GO:0042025, GO:0030430, GO:0006260, GO:0039693
DRYU1_DN3304_c0_g1_i2.p1	GO:0005829, GO:0005737, GO:0005634, GO:0019430, GO:0004362, GO:0004602, GO:0034599, GO:0097573
DRYU1_DN22036_c0_g1_i1.p1	GO:0010043, GO:0043530, GO:0009117, GO:0005737, GO:0005634, GO:0000166, GO:0033699
DRYU1_DN10005_c0_g2_i1.p1	GO:0007276, GO:0021762, GO:0005634, GO:0065003, GO:0010629, GO:0045944, GO:0006968, GO:0003677, GO:0046872, GO:0000122
DRYU1_DN466_c0_g2_i4.p1	GO:0005930, GO:0036158, GO:0070840, GO:0005929, GO:0007268, GO:0045202, GO:0060271, GO:0036159
DRYU1_DN129_c0_g1_i5.p1	GO:0001708, GO:0000981, GO:0005634, GO:0045893, GO:0001707, GO:0006357, GO:0003007, GO:0000978
DRYU1_DN3023_c0_g1_i2.p1	GO:0005096, GO:0007165, GO:0043087, GO:0005737
DRYU1_DN364_c0_g1_i1.p1	GO:0009266, GO:0019915, GO:0009100, GO:0000003, GO:0006493, GO:0040024, GO:0005634, GO:0005737, GO:0097363, GO:0004722, GO:0016262, GO:0006470, GO:0048471, GO:0005977
DRYU1_DN7455_c0_g1_i2.p1	GO:0051301, GO:0019901, GO:0005634, GO:0030291, GO:0007049
DRYU1_DN3305_c0_g1_i2.p1	GO:0005739, GO:0005829, GO:0016226, GO:0005737, GO:0051537, GO:0005759, GO:0005515, GO:0008198, GO:0006879, GO:0005198, GO:0009507
DRYU1_DN9016_c0_g1_i1.p1	GO:0030154, GO:0016021, GO:0033644, GO:0005515, GO:0016020, GO:0007283
DRYU1_DN7972_c0_g1_i1.p1	GO:0016021, GO:0055038, GO:0005783, GO:0005886, GO:0005794, GO:0033036, GO:0005768, GO:0140326, GO:0031901
DRYU1_DN6787_c0_g1_i1.p1	GO:0046513, GO:0016021, GO:0050291, GO:0005783, GO:0016020
DRYU1_DN8568_c1_g1_i1.p1	GO:0016021, GO:0008441, GO:0045087, GO:0016020, GO:0043413, GO:0046872
DRYU1_DN23587_c0_g1_i1.p1	GO:0005739, GO:0045040, GO:0005741, GO:0031307, GO:0005515, GO:0070096
DRYU1_DN471_c0_g1_i6.p1	GO:0008028, GO:0005887, GO:0005886, GO:0015718, GO:0015293, GO:0055085
DRYU1_DN21218_c0_g1_i3.p1	GO:0006270, GO:0000785, GO:0005829, GO:0005694, GO:0006261, GO:0005634, GO:0061806, GO:0005515, GO:0003677, GO:0005658, GO:1902981
DRYU1_DN1900_c0_g1_i1.p1	GO:0030683, GO:0039502, GO:0039540, GO:0042025, GO:0030430, GO:0003723
DRYU1_DN22911_c0_g1_i1.p1	GO:0030154, GO:0005739, GO:0035556, GO:0004712, GO:0005524, GO:0004674, GO:0006468, GO:0005515, GO:0000287, GO:0106310, GO:0007283
DRYU1_DN7101_c0_g2_i1.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN9688_c0_g1_i12.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN7085_c2_g1_i2.p2	GO:0019904, GO:0030683, GO:0039502, GO:0003700, GO:0006355, GO:0042025, GO:0003677, GO:0046872, GO:0006351, GO:0039645
DRYU1_DN4111_c0_g1_i1.p1	GO:0005739, GO:0005856, GO:0051301, GO:0097431, GO:0005876, GO:0005737, GO:0008017, GO:0007052, GO:0051315, GO:0019900, GO:0007049, GO:0007059
DRYU1_DN10729_c0_g1_i1.p1	GO:0007186, GO:0016021, GO:0033644, GO:0016020, GO:0004930
DRYU1_DN21647_c0_g1_i2.p1	GO:0007379, GO:0006355, GO:0005634, GO:0003682, GO:0003677
DRYU1_DN24540_c0_g1_i1.p1	GO:0004712, GO:0004691, GO:0005524, GO:0018105, GO:0005634, GO:0031588, GO:0034237, GO:0106310, GO:0010737
DRYU1_DN34379_c0_g1_i1.p1	GO:0016021, GO:0005886, GO:0051321, GO:0005524
DRYU1_DN1274_c1_g1_i1.p1	GO:0006979, GO:0000981, GO:0005634, GO:0006357, GO:0046872, GO:0000977
DRYU1_DN15810_c0_g1_i1.p1	GO:0060260, GO:0005634, GO:0045893, GO:0003712, GO:0016592, GO:0032496, GO:0009408
DRYU1_DN7383_c0_g1_i1.p1	GO:0005779, GO:0005777, GO:0005737, GO:0045033, GO:0005515, GO:0005778, GO:0043495
DRYU1_DN2103_c0_g1_i2.p1	GO:0006850, GO:0031305, GO:0005739, GO:0050833, GO:0005743
DRYU1_DN14162_c0_g1_i2.p1	GO:0061512, GO:0016021, GO:0005515, GO:0005886, GO:0060271
DRYU1_DN24366_c0_g1_i1.p1	GO:0016021, GO:1990760, GO:0005227, GO:0005886, GO:0098655, GO:0003094
DRYU1_DN8854_c0_g3_i1.p1	GO:0051087, GO:0005694, GO:0005634, GO:0000781, GO:0008033
DRYU1_DN24433_c0_g1_i1.p1	GO:0045143, GO:0000776, GO:0005634, GO:0005515, GO:0033551, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN3747_c0_g1_i1.p1	GO:0008483, GO:0005739, GO:0019464, GO:0004047
DRYU1_DN28862_c0_g1_i1.p1	GO:0005847, GO:0006378, GO:0080182, GO:0030846, GO:0005694, GO:0048188, GO:0005634, GO:0042800, GO:0000781, GO:0005515, GO:0003682, GO:0098789, GO:0000723, GO:0031126, GO:0034729
DRYU1_DN15999_c0_g1_i1.p1	GO:0005576, GO:0031152, GO:0048870, GO:0097656, GO:0007166, GO:0005515, GO:0004888, GO:0007157, GO:0099138
DRYU1_DN12857_c0_g1_i1.p1	GO:0042276, GO:0003684, GO:0005634, GO:0006302, GO:0003887, GO:0005515, GO:0005657, GO:0046872, GO:0035861, GO:0009650
DRYU1_DN19218_c0_g1_i1.p1	GO:0005739, GO:0032543, GO:0005743, GO:0003735, GO:0005759, GO:0005763, GO:0005840
DRYU1_DN18509_c0_g1_i1.p1	GO:0004712, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0006281, GO:0106310
DRYU1_DN8799_c0_g1_i1.p1	GO:0005576, GO:0070593, GO:0098632, GO:0005886, GO:0030424, GO:0007411, GO:0007156
DRYU1_DN24657_c0_g1_i1.p1	GO:0005737, GO:0003729, GO:0005634, GO:1990904, GO:0005515, GO:2000028, GO:0048573, GO:0009908, GO:0006402
DRYU1_DN1184_c0_g1_i1.p1	GO:0016567, GO:0005576, GO:0004842
DRYU1_DN1601_c0_g1_i2.p1	GO:0005739, GO:0005759, GO:0046872, GO:0019243, GO:0004416
DRYU1_DN2044_c0_g1_i1.p1	GO:0008028, GO:0005887, GO:0005886, GO:0015718, GO:0015293, GO:0055085
DRYU1_DN5650_c0_g1_i1.p1	GO:0005856, GO:0007269, GO:0005737, GO:0035147, GO:0006887, GO:0005764, GO:0030175, GO:0005770, GO:0008021, GO:0046872, GO:0016082
DRYU1_DN8613_c3_g1_i1.p1	GO:0000132, GO:0060070, GO:0097475, GO:1905485, GO:0030010, GO:0045167, GO:0001714, GO:0005109, GO:0005125, GO:0030182, GO:0048699, GO:0048557, GO:0030971, GO:0045165, GO:0097402, GO:0005576, GO:0070986, GO:1904936, GO:0005615
DRYU1_DN28288_c0_g1_i1.p1	GO:0004712, GO:0005524, GO:0005737, GO:0005634, GO:0004715, GO:0018108
DRYU1_DN12442_c0_g1_i2.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN694_c0_g2_i1.p1	GO:0016936, GO:0005737, GO:0031160, GO:0045335, GO:0098636, GO:0007010, GO:0030247, GO:0098609, GO:0009617, GO:0046872, GO:0009986, GO:0070492, GO:0031012, GO:0046871
DRYU1_DN6516_c1_g1_i5.p1	GO:0009566, GO:0030430, GO:0003677, GO:0007340, GO:0007283
DRYU1_DN7546_c0_g1_i1.p1	GO:0039722, GO:0030683, GO:0016021, GO:0033644, GO:0016020, GO:0003723
DRYU1_DN7059_c1_g1_i5.p1	GO:0005829, GO:0005634, GO:0035432, GO:0003677, GO:0007165
DRYU1_DN3144_c0_g1_i3.p1	GO:0003785, GO:0005525, GO:0000302, GO:0009617, GO:0031143, GO:0005811, GO:0051015, GO:0045335, GO:0005938, GO:0051017, GO:0030027, GO:0006412, GO:0010446, GO:0006414, GO:0005829, GO:0003746, GO:0030175, GO:0003924, GO:0048306, GO:0031012
DRYU1_DN30547_c0_g1_i2.p1	GO:0000329, GO:0005515, GO:0005794, GO:0051321, GO:0005773
DRYU1_DN24815_c0_g1_i1.p1	GO:2000679, GO:0031175, GO:0051090, GO:0071345, GO:0010628, GO:0005737, GO:0000981, GO:0005634, GO:0071392, GO:0006357, GO:0003697, GO:0000978, GO:0045672
DRYU1_DN5152_c1_g1_i1.p1	GO:0051301, GO:0005694, GO:0005874, GO:0005634, GO:0000776, GO:0005515, GO:0000775, GO:0031262, GO:0008608, GO:0007049
DRYU1_DN4609_c0_g1_i1.p1	GO:0016607, GO:0017070, GO:0030620, GO:0071013, GO:0005634, GO:0030619, GO:0097157, GO:0005682, GO:0000244, GO:0030623, GO:0000398, GO:0140492, GO:0070122
DRYU1_DN31224_c0_g1_i1.p1	GO:0045184, GO:0003684, GO:0005737, GO:0005634, GO:0006281, GO:0000077, GO:0007004, GO:0070310, GO:0000228, GO:0006325
DRYU1_DN209_c0_g1_i1.p1	GO:0005576, GO:0004222, GO:0008270, GO:0006508
DRYU1_DN1061_c1_g1_i16.p1	GO:0006511, GO:0005829, GO:0000082, GO:0004843, GO:0016579, GO:0005634, GO:0004197, GO:0005654
DRYU1_DN13610_c0_g2_i1.p1	GO:0006897, GO:0043410, GO:0005576, GO:1903746, GO:0004252, GO:0031648, GO:0002164, GO:0005044, GO:1905941, GO:0006508, GO:0016020, GO:0031103, GO:0005615
DRYU1_DN12380_c0_g1_i2.p1	GO:0070084, GO:0005737, GO:0070006, GO:0006508, GO:0046872
DRYU1_DN4091_c0_g1_i1.p1	GO:0030437, GO:0016021, GO:0005515, GO:0016020, GO:0051321
DRYU1_DN8437_c0_g1_i1.p1	GO:0004712, GO:0007169, GO:0005524, GO:0005887, GO:0005886, GO:0033674, GO:0045138, GO:0004714, GO:0043235, GO:0018108
DRYU1_DN7552_c0_g1_i1.p1	GO:0005525, GO:0016021, GO:0034613, GO:0030435, GO:0008289, GO:0003924, GO:0060090, GO:0070583, GO:0061640, GO:0016020, GO:0051321
DRYU1_DN5757_c0_g2_i1.p1	GO:0030683, GO:0016021, GO:0005515, GO:0005886, GO:0039503
DRYU1_DN13065_c0_g2_i1.p1	GO:0008270, GO:0005634, GO:0000398, GO:0003677
DRYU1_DN6743_c0_g1_i1.p1	GO:0005829, GO:0005737, GO:0030998, GO:0042162, GO:0005634, GO:0007131, GO:0005515, GO:0051321, GO:0042138, GO:0007059
DRYU1_DN8666_c0_g3_i1.p1	GO:0046332, GO:0060044, GO:0043065, GO:0001942, GO:0050821, GO:0051091, GO:0030216, GO:0060575, GO:0030159, GO:0006915, GO:0045600, GO:0080008, GO:0035329, GO:0060412, GO:0070699, GO:2000036, GO:0050680, GO:0042802, GO:0031697, GO:0060487, GO:0043113
DRYU1_DN9619_c0_g1_i2.p1	GO:0005634, GO:0008168, GO:0005654, GO:0032259
DRYU1_DN6342_c0_g1_i3.p1	GO:0051301, GO:0005737, GO:0039660, GO:0007049, GO:0043093, GO:0000917
DRYU1_DN30666_c0_g1_i1.p1	GO:0047676, GO:0000038, GO:0001676, GO:0031957, GO:0016021, GO:0015909, GO:0015711, GO:0000166, GO:1901480, GO:0042383
DRYU1_DN1050_c0_g1_i1.p1	GO:0005829, GO:0005525, GO:0005737, GO:0006614, GO:0003924, GO:0005786, GO:0008312, GO:0030942, GO:0006616
DRYU1_DN31495_c0_g1_i1.p1	GO:0005829, GO:0097422, GO:0009307, GO:0005769, GO:0005886, GO:0090305, GO:0005770, GO:0003677, GO:0030133, GO:0009036
DRYU1_DN2003_c0_g1_i5.p1	GO:0005856, GO:0051300, GO:0051301, GO:0005737, GO:0010968, GO:0030435, GO:0007052, GO:0005515, GO:0005823, GO:0005816, GO:0061499, GO:0051321, GO:0005200
DRYU1_DN25865_c0_g1_i1.p1	GO:0016021, GO:0006357, GO:0016020, GO:0005515
DRYU1_DN10165_c0_g3_i1.p1	GO:0070083, GO:0030672, GO:0009791, GO:1903427, GO:0005886, GO:0008021, GO:0005335, GO:0009636, GO:0005887, GO:0005813, GO:0043195, GO:0007268, GO:0051610, GO:0055085, GO:0015842, GO:0001975, GO:0015872, GO:0098691, GO:0005515, GO:0007626, GO:0042137
DRYU1_DN10135_c0_g2_i1.p1	GO:0005730, GO:0000462, GO:0005524, GO:0032502, GO:0022414, GO:0003724, GO:0016887, GO:0003723
DRYU1_DN15377_c0_g1_i1.p1	GO:0046740, GO:0003723, GO:0044219
DRYU1_DN10976_c0_g1_i1.p1	GO:0045143, GO:0000776, GO:0005634, GO:0005515, GO:0033551, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN4163_c0_g1_i4.p1	GO:0019722, GO:0005737, GO:0005524, GO:0031902, GO:0046834, GO:0008481, GO:0003951, GO:0005783, GO:0005768, GO:0005886, GO:0046512, GO:0004143, GO:0017050, GO:0005794, GO:0000139, GO:0005789
DRYU1_DN31326_c0_g1_i1.p1	GO:0004712, GO:0005524, GO:0016021, GO:0004674, GO:0009267, GO:0016020, GO:0106310
DRYU1_DN7739_c0_g4_i1.p1	GO:0016021, GO:0016925, GO:0016020, GO:0005515
DRYU1_DN5889_c0_g4_i1.p1	GO:0005829, GO:0005525, GO:0005737, GO:0015630, GO:0034613, GO:0030435, GO:0005634, GO:0008289, GO:0032169, GO:0003924, GO:0032152, GO:0032175, GO:0060090, GO:0070583, GO:0061640, GO:0016020, GO:0051321, GO:0032153
DRYU1_DN3688_c0_g1_i4.p1	GO:0043025, GO:0030424, GO:0070922, GO:0046843, GO:0007293, GO:0005737, GO:2000002, GO:1990511, GO:0005829, GO:0005524, GO:0016887, GO:0048477, GO:0032574, GO:0045202, GO:0030425, GO:0035194, GO:0005739, GO:0007318, GO:0000184, GO:0000578, GO:0005515, GO:0031023, GO:0070725, GO:0034584, GO:0007616, GO:0043186
DRYU1_DN4087_c0_g1_i3.p1	GO:0005737, GO:0005524, GO:0003723, GO:0006432, GO:0000287, GO:0004826, GO:0009328, GO:0006412
DRYU1_DN27576_c0_g1_i1.p1	GO:0071557, GO:0044666, GO:0005634, GO:0031490, GO:0060290, GO:0071558, GO:0010468, GO:0046872, GO:0000978, GO:0006325
DRYU1_DN31673_c0_g1_i1.p1	GO:0046789, GO:0030683, GO:0016021, GO:0033644, GO:0046718, GO:0106330, GO:0016020, GO:0039573, GO:0098671, GO:0106331
DRYU1_DN18173_c0_g1_i1.p1	GO:0007032, GO:0005515, GO:0032880, GO:0031083, GO:0005768
DRYU1_DN34917_c0_g1_i1.p1	GO:0006646, GO:0004306, GO:0045335
DRYU1_DN3127_c0_g1_i1.p1	GO:0032543, GO:0005739, GO:0003735
DRYU1_DN26907_c0_g1_i1.p1	GO:0051301, GO:0005737, GO:0004519, GO:0007049, GO:0043093, GO:0000917
DRYU1_DN1378_c0_g1_i10.p1	GO:0046872, GO:0007165, GO:0006468, GO:0005737
DRYU1_DN6982_c0_g1_i1.p1	GO:0005576, GO:0004712, GO:0005524, GO:0004674, GO:0006468, GO:0009279, GO:0046872, GO:0106310
DRYU1_DN27578_c0_g1_i1.p1	GO:0015629, GO:0070648, GO:0070649, GO:0110085, GO:1903475, GO:0030050, GO:0005737, GO:0051015, GO:0000146, GO:0005829, GO:0005524, GO:0030864, GO:1903478, GO:0005516, GO:0120104, GO:1990819, GO:0031982, GO:0016459, GO:1904601, GO:0032153
DRYU1_DN1013_c0_g1_i1.p1	GO:0015031, GO:0016578, GO:0005643, GO:0071819, GO:0000124, GO:0005634, GO:0045893, GO:0005654, GO:0006368, GO:0006406, GO:0070390, GO:0003713, GO:0006325
DRYU1_DN1964_c0_g1_i5.p1	GO:0051028, GO:0006974, GO:0006607, GO:0045944, GO:0006405, GO:0031965, GO:0005737, GO:0005694, GO:0006999, GO:0046872, GO:0008139, GO:0000791, GO:0005856, GO:0005643, GO:0005634, GO:0034399, GO:0031490, GO:0007549, GO:0044613, GO:0017056, GO:0005819, GO:0005635, GO:0006338
DRYU1_DN3098_c0_g1_i2.p1	GO:0003785, GO:0005856, GO:0005938, GO:0042989
DRYU1_DN27973_c0_g1_i1.p1	GO:1902476, GO:0005254, GO:0016021, GO:0005886, GO:0034707
DRYU1_DN19477_c0_g1_i1.p1	GO:0045143, GO:0000776, GO:0005634, GO:0005515, GO:0033551, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN22670_c0_g1_i1.p1	GO:0030683, GO:0039548, GO:0039557, GO:0044163, GO:0030430, GO:0046872, GO:0003723
DRYU1_DN18297_c0_g1_i1.p1	GO:0004712, GO:0005737, GO:0016021, GO:0005524, GO:0043408, GO:0004674, GO:0006468, GO:0048812, GO:0000165, GO:0005886, GO:0106310, GO:0030421, GO:0048511
DRYU1_DN24386_c0_g1_i1.p1	GO:0016021, GO:0004252, GO:0006508, GO:0016020, GO:0055036
DRYU1_DN10085_c0_g1_i2.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN7023_c0_g1_i1.p1	GO:0005576, GO:0044165, GO:0016021, GO:0004842, GO:0044169, GO:0016567, GO:0044385, GO:0016020, GO:0044155
DRYU1_DN2649_c0_g2_i2.p1	GO:0000209, GO:0006511, GO:0005737, GO:0032436, GO:0008270, GO:0006449
DRYU1_DN25153_c0_g1_i2.p1	GO:0005829, GO:0031509, GO:0031048, GO:0005737, GO:0031508, GO:0034613, GO:0034080, GO:0005694, GO:0031934, GO:0005634, GO:0005721, GO:0000781, GO:0005515, GO:0017053, GO:0000122, GO:0030466, GO:0045141, GO:0043494
DRYU1_DN31076_c0_g1_i1.p1	GO:0030154, GO:0005576, GO:0010033, GO:0007502, GO:0005125, GO:0060395, GO:0007476, GO:0009953, GO:0046982, GO:0030509, GO:0008083, GO:0007378, GO:0005615, GO:0008406, GO:0010862
DRYU1_DN6013_c0_g1_i11.p1	GO:0016567, GO:0008270, GO:0005737
DRYU1_DN34489_c0_g1_i1.p1	GO:0001708, GO:0005576, GO:0007219, GO:0007154, GO:0005887, GO:0016020, GO:0005112
DRYU1_DN19799_c0_g1_i1.p1	GO:0048665, GO:0003398, GO:0014014, GO:0007399, GO:0030182, GO:0000981, GO:0051179, GO:0005634, GO:0021780, GO:0042803, GO:0046982, GO:0048666, GO:0009792, GO:0045138, GO:0006357, GO:0007568, GO:0000978
DRYU1_DN6961_c0_g1_i1.p1	GO:0140445, GO:0005829, GO:0005737, GO:0005694, GO:0005634, GO:0016233, GO:0005515, GO:0032211, GO:0003677, GO:0070187
DRYU1_DN24395_c0_g1_i1.p1	GO:0004420, GO:0007280, GO:0007225, GO:0016021, GO:0006887, GO:0007367, GO:0005515, GO:0007224, GO:0035222, GO:0016020
DRYU1_DN2567_c0_g1_i6.p1	GO:0045143, GO:0005515, GO:0051455, GO:0045859, GO:0051321, GO:0010789, GO:0070056
DRYU1_DN5003_c0_g1_i6.p1	GO:0043252, GO:0005887, GO:0015347, GO:0005886, GO:0015125, GO:0055085, GO:0015721
DRYU1_DN1052_c0_g1_i1.p1	GO:0007130, GO:0042802, GO:0030435, GO:0051598, GO:0007131, GO:0007129, GO:0005634, GO:0031490, GO:0043085, GO:0000795, GO:0000794, GO:0000800, GO:0051321, GO:0005198
DRYU1_DN13557_c0_g1_i1.p1	GO:0004378, GO:0016021, GO:0000033, GO:0006490, GO:0097502, GO:0005783, GO:0033164, GO:0033577, GO:0102704, GO:0005789
DRYU1_DN10549_c0_g1_i2.p1	GO:0005856, GO:0051300, GO:0051301, GO:0005737, GO:0010968, GO:0030435, GO:0007052, GO:0005515, GO:0005823, GO:0005816, GO:0061499, GO:0051321, GO:0005200
DRYU1_DN33620_c0_g1_i1.p1	GO:0016021, GO:0040011, GO:0031430, GO:0009410, GO:0005515, GO:0005886, GO:0005249, GO:0046928, GO:0055120, GO:0045202, GO:0071805, GO:0045214, GO:0060072, GO:0043050, GO:0034765, GO:0045211, GO:0048149
DRYU1_DN4839_c0_g1_i1.p1	GO:0000055, GO:0030687, GO:0005730, GO:0005634, GO:0005515, GO:0000463, GO:0000466, GO:0042254, GO:0042134
DRYU1_DN8350_c0_g4_i1.p1	GO:0005737, GO:0004505, GO:0042427, GO:0006559, GO:0019293, GO:0007616, GO:0005506, GO:0006726, GO:0004510
DRYU1_DN3367_c0_g1_i2.p1	GO:0072487, GO:0000976, GO:0005634, GO:0016456, GO:0031625, GO:0003682, GO:0043984, GO:0009047, GO:0000228, GO:0006325
DRYU1_DN6901_c0_g1_i2.p1	GO:0016021, GO:0022857, GO:0016020, GO:0055085, GO:0008643
DRYU1_DN7817_c0_g1_i2.p1	GO:0008270, GO:0005739, GO:0004222, GO:0006508
DRYU1_DN31045_c0_g1_i1.p1	GO:1902600, GO:0005524, GO:1990573, GO:0016021, GO:0006883, GO:0016887, GO:0008900, GO:0005886, GO:0010248, GO:0030007, GO:0016324, GO:0000287, GO:0005391, GO:0036376, GO:0030955
DRYU1_DN24745_c0_g1_i1.p1	GO:0016021, GO:0032977, GO:0016043, GO:0005783, GO:0071816, GO:0033365, GO:0043529, GO:0005789
DRYU1_DN642_c0_g1_i1.p1	GO:0010628, GO:0060070, GO:1990907, GO:0045944, GO:0019900, GO:0007507, GO:0007476, GO:0007367, GO:0001222, GO:0072091, GO:0007435, GO:0009880, GO:0035293, GO:0048546, GO:0000978, GO:0005634, GO:0045892, GO:0007500, GO:0001228, GO:0035277, GO:0090254
DRYU1_DN398_c0_g3_i9.p1	GO:0000209, GO:0006511, GO:0005737, GO:0032436, GO:0008270, GO:0006449
DRYU1_DN7064_c0_g1_i3.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN502_c0_g1_i2.p1	GO:0016339, GO:0035010, GO:0016021, GO:0016020, GO:0030246, GO:0035006, GO:0055036
DRYU1_DN3701_c0_g1_i7.p1	GO:0016021, GO:0016567, GO:0016740, GO:0016020, GO:0046872, GO:0039648
DRYU1_DN23366_c0_g1_i1.p1	GO:0035672, GO:0007229, GO:0005886, GO:0007156, GO:0005654, GO:0016342, GO:0005509, GO:0048536, GO:0045296, GO:0016339, GO:0016021, GO:0033626, GO:0030054, GO:0009986, GO:0016323, GO:0002314, GO:0005427, GO:0005178, GO:0002315
DRYU1_DN306_c0_g1_i9.p1	GO:0030866, GO:0005737, GO:0051015, GO:0010172, GO:0044331, GO:0008013, GO:0032956, GO:0005912, GO:0016342, GO:0032880, GO:0042074, GO:0043296, GO:0045296
DRYU1_DN7712_c0_g1_i1.p1	GO:0005829, GO:0071507, GO:0071902, GO:0005515, GO:0043539, GO:0051321
DRYU1_DN21509_c0_g1_i1.p1	GO:0006564, GO:0004648, GO:0030170, GO:0005737
DRYU1_DN5894_c0_g1_i3.p1	GO:0098869, GO:0006979, GO:0005576, GO:0004602
DRYU1_DN22459_c0_g1_i1.p1	GO:0048309, GO:0008320, GO:0005515, GO:0031204, GO:0005783, GO:0032541, GO:0097038, GO:0030176, GO:0036228, GO:0006882, GO:0005789, GO:0000921
DRYU1_DN434_c0_g1_i2.p1	GO:0006355, GO:0042025, GO:0003677
DRYU1_DN2723_c0_g1_i2.p1	GO:1902475, GO:0006914, GO:0015807, GO:0034639, GO:0000329, GO:0032974, GO:0071627, GO:0005773
DRYU1_DN2387_c0_g3_i3.p1	GO:0016567, GO:0005634, GO:0005515
DRYU1_DN14_c1_g1_i1.p1	GO:0019722, GO:0016477, GO:0030234, GO:0010629, GO:0071944, GO:0009792, GO:0051296, GO:0005955, GO:0042981, GO:0031965, GO:0072686, GO:0043277, GO:0005813, GO:0005509, GO:0050790, GO:0051726, GO:0032880, GO:0005515, GO:0050918
DRYU1_DN8159_c1_g2_i2.p1	GO:0004527, GO:0001882, GO:0071897, GO:0000166, GO:0003887, GO:0090305, GO:0042025, GO:0003677, GO:0006260, GO:0039693
DRYU1_DN5112_c0_g1_i1.p1	GO:0006937, GO:0016021, GO:0031201, GO:0006887, GO:0000149, GO:0005484, GO:0016081, GO:0006836, GO:0005886, GO:0006886, GO:0048787, GO:0008021, GO:2000294, GO:0012505, GO:0031629
DRYU1_DN6924_c0_g1_i1.p1	GO:0008270, GO:0004222, GO:0031012, GO:0006508
DRYU1_DN1536_c0_g1_i2.p1	GO:0005829, GO:0005730, GO:0005737, GO:0005634, GO:0007010, GO:0005654, GO:0005515, GO:0008360, GO:0017108, GO:0003677, GO:0006357, GO:0035312, GO:0046872
DRYU1_DN8169_c0_g1_i1.p1	GO:0016021, GO:0015459, GO:0030683, GO:0016020
DRYU1_DN9498_c0_g1_i1.p1	GO:0044877, GO:1903568, GO:0005929, GO:0030317, GO:0042802, GO:0097546, GO:0007283
DRYU1_DN33634_c0_g1_i1.p1	GO:0030246, GO:0016021, GO:0018243, GO:0018242, GO:0005515, GO:0004653, GO:0030145, GO:0070062, GO:0005794, GO:0016266, GO:0000139, GO:0048471
